,precision,recall,f1-score,support
0.0,0.7374564182813219,1.0,0.8488919900630463,171539.0
1.0,1.0,0.643987664612712,0.7834458596919236,171539.0
accuracy,0.821993832306356,0.821993832306356,0.821993832306356,0.821993832306356
macro avg,0.868728209140661,0.821993832306356,0.8161689248774849,343078.0
weighted avg,0.868728209140661,0.821993832306356,0.8161689248774848,343078.0
