,precision,recall,f1-score,support
1.0,0.7416619658722324,0.7807199851549452,0.7606899419624293,161670.0
2.0,0.9062575325265004,1.0,0.9508238179396171,161670.0
3.0,0.7379125509564126,0.9315581122038721,0.8235046450462864,161670.0
4.0,0.8198857531885924,0.476742747572215,0.6029091392655577,161670.0
accuracy,0.7972552112327581,0.7972552112327581,0.7972552112327581,0.7972552112327581
macro avg,0.8014294506359345,0.7972552112327581,0.7844818860534726,646680.0
weighted avg,0.8014294506359344,0.7972552112327581,0.7844818860534726,646680.0
