,precision,recall,f1-score,support
1.0,0.7545663801811648,0.845537205418445,0.797465806767766,161670.0
2.0,0.9387793023755465,1.0,0.9684230703569813,161670.0
3.0,0.7565930309728993,0.9378487041504299,0.8375263415186524,161670.0
4.0,0.8629783111780851,0.49591760994618667,0.6298733182755574,161670.0
accuracy,0.8198258798787654,0.8198258798787654,0.8198258798787654,0.8198258798787654
macro avg,0.828229256176924,0.8198258798787654,0.8083221342297393,646680.0
weighted avg,0.828229256176924,0.8198258798787654,0.8083221342297392,646680.0
