,precision,recall,f1-score,support
1.0,0.7284641524094282,0.9162553349415477,0.8116389099685768,161670.0
2.0,0.6132836747361887,0.3003343803830175,0.4032104475581553,9869.0
3.0,0.6296545072508698,0.6092963567881071,0.6193081718390027,60002.0
4.0,0.7826409495548962,0.6007127497806151,0.6797139402943216,149281.0
accuracy,0.728237864409094,0.728237864409094,0.728237864409094,0.728237864409094
macro avg,0.6885108209878458,0.6066497054733219,0.628467867415014,380822.0
weighted avg,0.7311480151897076,0.728237864409094,0.7190368522021618,380822.0
