,precision,recall,f1-score,support
0.0,0.993857707418267,0.9998542605471642,0.9968469659675746,171539.0
1.0,0.9998799508278591,0.9949350878953379,0.9974013905554318,209283.0
accuracy,0.9971508998954892,0.9971508998954892,0.9971508998954892,0.9971508998954892
macro avg,0.996868829123063,0.997394674221251,0.9971241782615032,380822.0
weighted avg,0.9971672671797557,0.9971508998954892,0.9971516533044944,380822.0
