,precision,recall,f1-score,support
1.0,0.7545663801811648,0.845537205418445,0.797465806767766,161670.0
2.0,0.9387683999651598,1.0,0.9684172694191114,161670.0
3.0,0.7565868263473053,0.937836333271479,0.8375176070925511,161670.0
4.0,0.8629768363041419,0.4959114245067112,0.629867936238579,161670.0
accuracy,0.8198212407991587,0.8198212407991587,0.8198212407991587,0.8198212407991587
macro avg,0.8282246106994429,0.8198212407991587,0.8083171548795018,646680.0
weighted avg,0.8282246106994431,0.8198212407991587,0.8083171548795018,646680.0
