,precision,recall,f1-score,support
1.0,0.9936204734862453,1.0,0.9968000295951019,161670.0
2.0,0.9907453978472991,0.9979734522241361,0.9943462897526502,9869.0
3.0,0.9944565597376438,0.995600146661778,0.9950280246183573,60002.0
4.0,1.0,0.9921021429384851,0.9960354156088277,149281.0
accuracy,0.9961583101816597,0.9961583101816597,0.9961583101816597,0.9961583101816597
macro avg,0.994705607767797,0.9964189354560998,0.9955524398937343,380822.0
weighted avg,0.9961784528657861,0.9961583101816597,0.9961575190741635,380822.0
