,precision,recall,f1-score,support
1.0,0.6923326495060971,0.8579451970062473,0.7662929231823167,161670.0
2.0,0.5302013422818792,0.22413618401053806,0.31507727369845456,9869.0
3.0,0.5735551970823397,0.5451651611612947,0.5589999487328469,60002.0
4.0,0.717585411863341,0.5733482492748575,0.6374089575358585,149281.0
accuracy,0.680677586904118,0.680677586904118,0.680677586904118,0.680677586904118
macro avg,0.6284186501834143,0.5501486978632344,0.5694447757873691,380822.0
weighted avg,0.6793155418970978,0.680677586904118,0.67141666190187,380822.0
