,precision,recall,f1-score,support
1.0,0.6010805580195145,0.7552943560644442,0.6694207453973955,9869.0
2.0,0.6097968516401372,0.702604113891985,0.6529190207156309,9869.0
3.0,0.5958579197038065,0.5218360522849326,0.5563958513396716,9869.0
4.0,0.6251239201246283,0.4472590941331442,0.5214412285883049,9869.0
accuracy,0.6067484040936265,0.6067484040936265,0.6067484040936265,0.6067484040936265
macro avg,0.6079648123720216,0.6067484040936264,0.6000442115102507,39476.0
weighted avg,0.6079648123720217,0.6067484040936265,0.6000442115102507,39476.0
