,precision,recall,f1-score,support
0.0,0.727402645316416,0.9999533633750926,0.8421758086372474,171539.0
1.0,0.999944831010489,0.6928465283850098,0.8185395097828909,209283.0
accuracy,0.8311809716875601,0.8311809716875601,0.8311809716875601,0.8311809716875601
macro avg,0.8636737381634525,0.8463999458800512,0.8303576592100692,380822.0
weighted avg,0.877179827959784,0.8311809716875601,0.8291863397170266,380822.0
