C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_2,recall_class_2,precision_class_2,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
0.1,balanced,100000,ovr,l1,liblinear,,0.6260536425777823,0.2186893573521516,0.3702493004990692,0.1551759285109008,0.4949191592723933,0.6260536425777823,0.6369948077716625,0.5284167388337981,0.6260536425777823,0.6260536425777823,0.4979028275613495,0.6260536425777823,0.6263332286698456,0.8304540881191805,0.4260185134581824,0.3002719131417163
0.1,balanced,100000,ovr,l1,saga,,0.6074859104344725,0.2042409275097621,0.4464471082417429,0.1324079527617978,0.4863284384205917,0.6074859104344725,0.6405701677127308,0.5408300130571676,0.6074859104344725,0.6074859104344725,0.4881642984845287,0.6074859104344725,0.6153995133781616,0.8229205049531171,0.41430960153656,0.2931421340614504
0.1,,1000,ovr,l1,liblinear,,0.6445320935511333,0.0040342339021136,0.0020265580857625,0.4618736383442265,0.5696876770293751,0.6445320935511333,0.6262422268028146,0.436152716421477,0.6445320935511333,0.6445320935511333,0.4355791522530001,0.6445320935511333,0.6209023956089331,0.8326544147394269,0.4244713890240061,0.1479906505563608
0.1,,1000,ovr,l1,saga,,0.6445846116357363,0.004033988954915,0.0020265580857625,0.4470588235294118,0.5660795945232425,0.6445846116357363,0.6259326056898106,0.4362010330890667,0.6445846116357363,0.6445846116357363,0.4356392373124575,0.6445846116357363,0.6209583109711803,0.8326897554249181,0.4245555548949169,0.1480563125214945
0.1,,10000,ovr,l1,liblinear,,0.6445320935511333,0.0040342339021136,0.0020265580857625,0.4618736383442265,0.5696876770293751,0.6445320935511333,0.6262422268028146,0.436152716421477,0.6445320935511333,0.6445320935511333,0.4355791522530001,0.6445320935511333,0.6209023956089331,0.8326544147394269,0.4244713890240061,0.1479906505563608
0.1,,10000,ovr,l1,saga,,0.6445846116357363,0.004033988954915,0.0020265580857625,0.4470588235294118,0.5660795945232425,0.6445846116357363,0.6259326056898106,0.4362010330890667,0.6445846116357363,0.6445846116357363,0.4356392373124575,0.6445846116357363,0.6209583109711803,0.8326897554249181,0.4245555548949169,0.1480563125214945
0.1,,100000,ovr,l1,liblinear,,0.6445320935511333,0.0040342339021136,0.0020265580857625,0.4618736383442265,0.5696876770293751,0.6445320935511333,0.6262422268028146,0.436152716421477,0.6445320935511333,0.6445320935511333,0.4355791522530001,0.6445320935511333,0.6209023956089331,0.8326544147394269,0.4244713890240061,0.1479906505563608
0.1,,100000,ovr,l1,saga,,0.6445846116357363,0.004033988954915,0.0020265580857625,0.4470588235294118,0.5660795945232425,0.6445846116357363,0.6259326056898106,0.4362010330890667,0.6445846116357363,0.6445846116357363,0.4356392373124575,0.6445846116357363,0.6209583109711803,0.8326897554249181,0.4245555548949169,0.1480563125214945
1.0,balanced,1000,ovr,l1,liblinear,,0.6259013402524123,0.217966181510068,0.3687294204407987,0.1547141620774351,0.4946944803035167,0.6259013402524123,0.63701360444539,0.5283364565433838,0.6259013402524123,0.6259013402524123,0.4979066462061388,0.6259013402524123,0.626373937787413,0.8305307074210265,0.4259436042078193,0.3002305267167249
1.0,balanced,1000,ovr,l1,saga,,0.607370371173772,0.2033747411826254,0.4447245631334438,0.1318312961155121,0.4862262542825679,0.607370371173772,0.6405871223092249,0.5405524097732821,0.607370371173772,0.607370371173772,0.4880659495657406,0.607370371173772,0.6153983363877941,0.8229892673973319,0.4142235553330609,0.2928968191200859
1.0,balanced,10000,ovr,l1,liblinear,,0.6259013402524123,0.217966181510068,0.3687294204407987,0.1547141620774351,0.4946944803035167,0.6259013402524123,0.63701360444539,0.5283364565433838,0.6259013402524123,0.6259013402524123,0.4979066462061388,0.6259013402524123,0.626373937787413,0.8305307074210265,0.4259436042078193,0.3002305267167249
1.0,balanced,10000,ovr,l1,saga,,0.607370371173772,0.2033747411826254,0.4447245631334438,0.1318312961155121,0.4862262542825679,0.607370371173772,0.6405871223092249,0.5405524097732821,0.607370371173772,0.607370371173772,0.4880659495657406,0.607370371173772,0.6153983363877941,0.8229892673973319,0.4142235553330609,0.2928968191200859
1.0,balanced,100000,ovr,l1,liblinear,,0.6259013402524123,0.217966181510068,0.3687294204407987,0.1547141620774351,0.4946944803035167,0.6259013402524123,0.63701360444539,0.5283364565433838,0.6259013402524123,0.6259013402524123,0.4979066462061388,0.6259013402524123,0.626373937787413,0.8305307074210265,0.4259436042078193,0.3002305267167249
1.0,balanced,100000,ovr,l1,saga,,0.607370371173772,0.2033747411826254,0.4447245631334438,0.1318312961155121,0.4862262542825679,0.607370371173772,0.6405871223092249,0.5405524097732821,0.607370371173772,0.607370371173772,0.4880659495657406,0.607370371173772,0.6153983363877941,0.8229892673973319,0.4142235553330609,0.2928968191200859
