C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_2,recall_class_2,precision_class_2,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
0.01,balanced,100000,ovr,l1,saga,,0.5272571966277246,0.5667883610579288,0.6100914010879395,0.5292462509146622,0.5133637690085002,0.5272571966277246,0.5133634581673722,0.527257618169503,0.5272571966277246,0.5272571966277246,0.5128046288697986,0.5272571966277246,0.5128043551979206,0.7841973761206258,0.373314689642388,0.4882252316409418
0.01,,1000,ovr,l1,liblinear,,0.5227734680036165,0.5609117989110535,0.6118142543383294,0.5178368872524439,0.5086168046822194,0.5227734680036165,0.5086163530380532,0.5227740787356774,0.5227734680036165,0.5227734680036165,0.5059123881603367,0.5227734680036165,0.5059120054932793,0.784703641457659,0.3684195771820904,0.4796557584300608
0.01,,1000,ovr,l1,saga,,0.5238626976534082,0.5647681162914704,0.6176910069114402,0.5202076293959885,0.5094470552104766,0.5238626976534082,0.5094466898981829,0.5238631736137964,0.5238626976534082,0.5238626976534082,0.5069791987052013,0.5238626976534082,0.506978886218931,0.7852870800863501,0.3698296250563918,0.4818307107589182
0.01,,10000,ovr,l1,liblinear,,0.5227734680036165,0.5609117989110535,0.6118142543383294,0.5178368872524439,0.5086168046822194,0.5227734680036165,0.5086163530380532,0.5227740787356774,0.5227734680036165,0.5227734680036165,0.5059123881603367,0.5227734680036165,0.5059120054932793,0.784703641457659,0.3684195771820904,0.4796557584300608
0.01,,10000,ovr,l1,saga,,0.5238626976534082,0.5647681162914704,0.6176910069114402,0.5202076293959885,0.5094470552104766,0.5238626976534082,0.5094466898981829,0.5238631736137964,0.5238626976534082,0.5238626976534082,0.5069791987052013,0.5238626976534082,0.506978886218931,0.7852870800863501,0.3698296250563918,0.4818307107589182
0.01,,100000,ovr,l1,liblinear,,0.5227734680036165,0.5609117989110535,0.6118142543383294,0.5178368872524439,0.5086168046822194,0.5227734680036165,0.5086163530380532,0.5227740787356774,0.5227734680036165,0.5227734680036165,0.5059123881603367,0.5227734680036165,0.5059120054932793,0.784703641457659,0.3684195771820904,0.4796557584300608
0.01,,100000,ovr,l1,saga,,0.5238626976534082,0.5647681162914704,0.6176910069114402,0.5202076293959885,0.5094470552104766,0.5238626976534082,0.5094466898981829,0.5238631736137964,0.5238626976534082,0.5238626976534082,0.5069791987052013,0.5238626976534082,0.506978886218931,0.7852870800863501,0.3698296250563918,0.4818307107589182
0.1,balanced,1000,ovr,l1,liblinear,,0.5472185947398511,0.5869021653994971,0.6295457264766342,0.5496798265568463,0.5343937651349956,0.5472185947398511,0.5343936527997573,0.5472186447127406,0.5472185947398511,0.5472185947398511,0.5346975393423514,0.5472185947398511,0.5346975825720672,0.8029589023171309,0.3993280880557491,0.5065197955103573
0.1,balanced,1000,ovr,l1,saga,,0.5467625778566585,0.586468667113753,0.6277215561036507,0.5503172611469072,0.5342004232522669,0.5467625778566585,0.5342003210667597,0.5467624994158731,0.5467625778566585,0.5467625778566585,0.534822282898596,0.5467625778566585,0.534822386806307,0.7985949797136203,0.3984961887159835,0.508360629506569
0.1,balanced,10000,ovr,l1,liblinear,,0.5472185947398511,0.5869021653994971,0.6295457264766342,0.5496798265568463,0.5343937651349956,0.5472185947398511,0.5343936527997573,0.5472186447127406,0.5472185947398511,0.5472185947398511,0.5346975393423514,0.5472185947398511,0.5346975825720672,0.8029589023171309,0.3993280880557491,0.5065197955103573
0.1,balanced,10000,ovr,l1,saga,,0.5467625778566585,0.586468667113753,0.6277215561036507,0.5503172611469072,0.5342004232522669,0.5467625778566585,0.5342003210667597,0.5467624994158731,0.5467625778566585,0.5467625778566585,0.534822282898596,0.5467625778566585,0.534822386806307,0.7985949797136203,0.3984961887159835,0.508360629506569
0.1,balanced,100000,ovr,l1,liblinear,,0.5472185947398511,0.5869021653994971,0.6295457264766342,0.5496798265568463,0.5343937651349956,0.5472185947398511,0.5343936527997573,0.5472186447127406,0.5472185947398511,0.5472185947398511,0.5346975393423514,0.5472185947398511,0.5346975825720672,0.8029589023171309,0.3993280880557491,0.5065197955103573
0.1,balanced,100000,ovr,l1,saga,,0.5467625778566585,0.586468667113753,0.6277215561036507,0.5503172611469072,0.5342004232522669,0.5467625778566585,0.5342003210667597,0.5467624994158731,0.5467625778566585,0.5467625778566585,0.534822282898596,0.5467625778566585,0.534822386806307,0.7985949797136203,0.3984961887159835,0.508360629506569
0.1,,1000,ovr,l1,liblinear,,0.5472185947398511,0.5869021653994971,0.6295457264766342,0.5496798265568463,0.5343937651349956,0.5472185947398511,0.5343936527997573,0.5472186447127406,0.5472185947398511,0.5472185947398511,0.5346975393423514,0.5472185947398511,0.5346975825720672,0.8029587483874545,0.3993280880557491,0.5065197955103573
