solver,penalty,multi_class,max_iter,C,l1_ratio,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric,F1_class_2_macro,F1_class_2_weighted,F1_class_2_micro
saga,elasticnet,ovr,10000,0.01,1.0,0.6412575985513675,0.45297843120263215,0.6412575985513675,0.6106652480546609,0.42998830428660545,0.6412575985513675,0.6412575985513675,0.42822469720059414,0.6412575985513675,0.6151072103692404,0.8261540182478909,0.4182181282931006,0.13819498497443083,0.0,0.0,0.0
saga,elasticnet,ovr,1000,0.01,1.0,0.6412575985513675,0.45297843120263215,0.6412575985513675,0.6106652480546609,0.42998830428660545,0.6412575985513675,0.6412575985513675,0.42822469720059414,0.6412575985513675,0.6151072103692404,0.8261540182478909,0.4182181282931006,0.13819498497443083,0.0,0.0,0.0
saga,elasticnet,multinomial,100000,10,1.0,0.6484551850091774,0.5597725523524826,0.6484551850091774,0.6311463376844911,0.45362757140917065,0.6484551850091774,0.6484551850091774,0.4588701658570212,0.6484551850091774,0.6305757118943366,0.8362910634772871,0.43419535982501106,0.19283898579431638,0.04844056467185417,0.04844056467185417,0.04844056467185417
newton-cg,l2,ovr,10000,1,,0.6449181008275608,0.5722477591126186,0.6449181008275608,0.6270394836406815,0.43755176054799055,0.6449181008275608,0.6449181008275608,0.4375850317867262,0.6449181008275608,0.6217451030818286,0.8331077988163053,0.42531664117840345,0.15182838222128814,0.007836419550060827,0.007836419550060827,0.007836419550060827
saga,elasticnet,multinomial,100000,0.001,1.0,0.627723715525086,0.4486058248780654,0.627723715525086,0.5982825960900906,0.4122397043139509,0.627723715525086,0.627723715525086,0.40758079000281916,0.627723715525086,0.5953289762204769,0.802174023815326,0.39318053388110813,0.11623763408153777,0.0,0.0,0.0
lbfgs,none,ovr,100000,1,,0.6449811223139496,0.5628759643426305,0.6449811223139496,0.6261458010107092,0.43768317773882237,0.6449811223139496,0.6449811223139496,0.43777593304656076,0.6449811223139496,0.6218478217268807,0.8330333143026003,0.42543900226974046,0.15215613140694276,0.00822805267444064,0.00822805267444064,0.00822805267444064
liblinear,l1,ovr,1000,10,,0.6449732448453549,0.5639664849054512,0.6449732448453549,0.6262404826155561,0.437666518423615,0.6449732448453549,0.6449732448453549,0.43775115803322767,0.6449732448453549,0.6218307437128064,0.8330481958636216,0.4254287523667542,0.1521196948347568,0.008229197362878436,0.008229197362878436,0.008229197362878436
lbfgs,l2,multinomial,10000,0.1,,0.6484761915231428,0.5615382872667295,0.6484761915231428,0.6311865719695221,0.4521732349569018,0.6484761915231428,0.6484761915231428,0.45647688898073574,0.6484761915231428,0.630223322162178,0.8362096507920987,0.433995545333385,0.18724441178265436,0.04012096735261966,0.040120967352619656,0.04012096735261966
sag,l2,multinomial,100000,0.1,,0.6484604360274292,0.5611015033794572,0.6484604360274292,0.6311318690699904,0.4521701487778021,0.6484604360274292,0.6484604360274292,0.45647481149601427,0.6484604360274292,0.6302070812723248,0.8362110663877221,0.4339727443839967,0.18726537011006664,0.04011334979714598,0.040113349797145974,0.04011334979714598
newton-cg,none,multinomial,100000,0.01,,0.6485077030317222,0.5589282006201388,0.6485077030317222,0.6311188893277614,0.4537201993037909,0.6485077030317222,0.6485077030317222,0.4590005539278434,0.6485077030317222,0.6306437993761256,0.8362457237933905,0.43429206748817645,0.19306630677503792,0.04877482617689826,0.048774826176898246,0.04877482617689826
saga,l1,ovr,100000,0.001,,0.6211300822617272,0.44293204221891685,0.6211300822617272,0.5905608436034954,0.3993461255191886,0.6211300822617272,0.6211300822617272,0.38883678977464875,0.6211300822617272,0.5812190913628488,0.7911293404475878,0.3807942537288092,0.08994914197644525,0.0,0.0,0.0
lbfgs,l2,multinomial,1000,0.001,,0.6388916627207025,0.45081579935731436,0.6388916627207025,0.6092401197720752,0.4329794078458645,0.6388916627207025,0.6388916627207025,0.4320889985904334,0.6388916627207025,0.6158502432774453,0.8232164737184696,0.4154003479797594,0.14699364114039862,0.0,0.0,0.0
saga,l2,multinomial,100000,10,,0.6484709404221466,0.5594354678854291,0.6484709404221466,0.6311333445419677,0.453652955544718,0.6484709404221466,0.6484709404221466,0.458894646169421,0.6484709404221466,0.630599230533563,0.8362915799705893,0.4342265562278314,0.1928647197335708,0.048431051845817426,0.048431051845817426,0.048431051845817426
saga,elasticnet,multinomial,100000,1,1.0,0.6484814437205016,0.5617652612011305,0.6484814437205016,0.6313292705474582,0.4534764289621352,0.6484814437205016,0.6484814437205016,0.45869908791556613,0.6484814437205016,0.6305312324043183,0.8363315860393262,0.43417850093495614,0.19246597220565417,0.04813140535942443,0.04813140535942443,0.04813140535942443
saga,elasticnet,multinomial,10000,0.001,0.5,0.6293780310528699,0.44608750069417463,0.6293780310528699,0.5991436973574574,0.4178252639538626,0.6293780310528699,0.6293780310528699,0.41504229297974554,0.6293780310528699,0.6009800026816416,0.8086485489322928,0.396922733107049,0.12643164496812984,0.0,0.0,0.0
saga,elasticnet,multinomial,1000,10,0.0,0.6484709404221466,0.5594354678854291,0.6484709404221466,0.6311333445419677,0.453652955544718,0.6484709404221466,0.6484709404221466,0.458894646169421,0.6484709404221466,0.630599230533563,0.8362915799705893,0.4342265562278314,0.1928647197335708,0.048431051845817426,0.048431051845817426,0.048431051845817426
newton-cg,none,multinomial,100000,10,,0.6485077030317222,0.5589282006201388,0.6485077030317222,0.6311188893277614,0.4537201993037909,0.6485077030317222,0.6485077030317222,0.4590005539278434,0.6485077030317222,0.6306437993761256,0.8362457237933905,0.43429206748817645,0.19306630677503792,0.04877482617689826,0.048774826176898246,0.04877482617689826
saga,elasticnet,multinomial,10000,1,1.0,0.6484814437205016,0.5617652612011305,0.6484814437205016,0.6313292705474582,0.4534764289621352,0.6484814437205016,0.6484814437205016,0.45869908791556613,0.6484814437205016,0.6305312324043183,0.8363315860393262,0.43417850093495614,0.19246597220565417,0.04813140535942443,0.04813140535942443,0.04813140535942443
saga,elasticnet,multinomial,1000,0.001,0.5,0.6293780310528699,0.44608750069417463,0.6293780310528699,0.5991436973574574,0.4178252639538626,0.6293780310528699,0.6293780310528699,0.41504229297974554,0.6293780310528699,0.6009800026816416,0.8086485489322928,0.396922733107049,0.12643164496812984,0.0,0.0,0.0
lbfgs,none,ovr,1000,10,,0.6449811223139496,0.5628759643426305,0.6449811223139496,0.6261458010107092,0.43768317773882237,0.6449811223139496,0.6449811223139496,0.43777593304656076,0.6449811223139496,0.6218478217268807,0.8330333143026003,0.42543900226974046,0.15215613140694276,0.00822805267444064,0.00822805267444064,0.00822805267444064
