,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_multi_class,param_max_iter,param_class_weight,param_C,param_l1_ratio,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_F1_class_2,split1_test_F1_class_2,split2_test_F1_class_2,mean_test_F1_class_2,std_test_F1_class_2,rank_test_F1_class_2,split0_test_recall_class_2,split1_test_recall_class_2,split2_test_recall_class_2,mean_test_recall_class_2,std_test_recall_class_2,rank_test_recall_class_2,split0_test_precision_class_2,split1_test_precision_class_2,split2_test_precision_class_2,mean_test_precision_class_2,std_test_precision_class_2,rank_test_precision_class_2,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_precision_micro,split1_test_precision_micro,split2_test_precision_micro,mean_test_precision_micro,std_test_precision_micro,rank_test_precision_micro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_recall_micro,split1_test_recall_micro,split2_test_recall_micro,mean_test_recall_micro,std_test_recall_micro,rank_test_recall_micro,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_matthews_corrcoef,split1_test_matthews_corrcoef,split2_test_matthews_corrcoef,mean_test_matthews_corrcoef,std_test_matthews_corrcoef,rank_test_matthews_corrcoef,split0_test_Cust_metric,split1_test_Cust_metric,split2_test_Cust_metric,mean_test_Cust_metric,std_test_Cust_metric,rank_test_Cust_metric
21,61.437679052352905,4.602386659214182,2.757249037424723,0.18509358102644025,saga,l2,multinomial,100000,,0.01,,"{'solver': 'saga', 'penalty': 'l2', 'multi_class': 'multinomial', 'max_iter': 100000, 'class_weight': None, 'C': 0.01}",0.5639589905362776,0.6594358879198366,0.6343477454073112,0.6192475412878086,0.04041428465972273,8,0.7501982730694904,0.7456617641235219,0.7101142239144285,0.7353247537024803,0.017922482854409394,9,0.6231211727593245,0.8735201336054926,0.8894414548153646,0.795360920393394,0.12196521393701543,14,0.9423848679594757,0.6504539110969864,0.5909651329092075,0.7279346373218898,0.15357170908721876,9,0.5853639707550239,0.6555507608437772,0.6410752972567093,0.6273300096185035,0.03025718729969724,8,0.5639589905362776,0.6594358879198366,0.6343477454073112,0.6192475412878086,0.04041428465972273,8,0.5853639707550239,0.6555507608437773,0.6410752972567094,0.6273300096185035,0.030257187299697293,8,0.5639589905362776,0.6594358879198368,0.6343477454073112,0.6192475412878086,0.040414284659722764,8,0.5639589905362776,0.6594358879198366,0.6343477454073112,0.6192475412878086,0.04041428465972273,8,0.5639589905362776,0.6594358879198366,0.6343477454073112,0.6192475412878086,0.04041428465972273,8,0.5480059715062342,0.6472141450518306,0.6192177172189501,0.604812611259005,0.04176278832366784,8,0.5639589905362776,0.6594358879198366,0.6343477454073112,0.6192475412878086,0.04041428465972273,8,0.5480059715062343,0.6472141450518306,0.6192177172189501,0.604812611259005,0.04176278832366778,8,0.8134810747474837,0.8889408156284166,0.8756171916789415,0.8593463606849472,0.032884627405326536,8,0.4337509940638465,0.5518216162596465,0.522677621659928,0.502750077327807,0.0502195063281014,8,0.5409420576396425,0.6422497222625191,0.6102787357848416,0.5978235052290011,0.04228601269123291,8
22,65.5867269039154,0.5540696722512456,3.118547042210897,0.08533025089446603,saga,l2,multinomial,1000,,0.01,,"{'solver': 'saga', 'penalty': 'l2', 'multi_class': 'multinomial', 'max_iter': 1000, 'class_weight': None, 'C': 0.01}",0.5639589905362776,0.6594358879198366,0.6343477454073112,0.6192475412878086,0.04041428465972273,8,0.7501982730694904,0.7456617641235219,0.7101142239144285,0.7353247537024803,0.017922482854409394,9,0.6231211727593245,0.8735201336054926,0.8894414548153646,0.795360920393394,0.12196521393701543,14,0.9423848679594757,0.6504539110969864,0.5909651329092075,0.7279346373218898,0.15357170908721876,9,0.5853639707550239,0.6555507608437772,0.6410752972567093,0.6273300096185035,0.03025718729969724,8,0.5639589905362776,0.6594358879198366,0.6343477454073112,0.6192475412878086,0.04041428465972273,8,0.5853639707550239,0.6555507608437773,0.6410752972567094,0.6273300096185035,0.030257187299697293,8,0.5639589905362776,0.6594358879198368,0.6343477454073112,0.6192475412878086,0.040414284659722764,8,0.5639589905362776,0.6594358879198366,0.6343477454073112,0.6192475412878086,0.04041428465972273,8,0.5639589905362776,0.6594358879198366,0.6343477454073112,0.6192475412878086,0.04041428465972273,8,0.5480059715062342,0.6472141450518306,0.6192177172189501,0.604812611259005,0.04176278832366784,8,0.5639589905362776,0.6594358879198366,0.6343477454073112,0.6192475412878086,0.04041428465972273,8,0.5480059715062343,0.6472141450518306,0.6192177172189501,0.604812611259005,0.04176278832366778,8,0.8134810747474837,0.8889408156284166,0.8756171916789415,0.8593463606849472,0.032884627405326536,8,0.4337509940638465,0.5518216162596465,0.522677621659928,0.502750077327807,0.0502195063281014,8,0.5409420576396425,0.6422497222625191,0.6102787357848416,0.5978235052290011,0.04228601269123291,8
23,206.30239295959473,18.99936381510643,3.0855833689371743,0.16182730808474605,saga,l1,ovr,1000,balanced,0.01,,"{'solver': 'saga', 'penalty': 'l1', 'multi_class': 'ovr', 'max_iter': 1000, 'class_weight': 'balanced', 'C': 0.01}",0.5557060679161254,0.6478613843013546,0.6238541473371683,0.6091405331848828,0.039034330322441184,20,0.763213185425489,0.7367487684729064,0.6934866435676764,0.7311495324886906,0.02873976620836856,22,0.6504731861198738,0.901966969753201,0.9210799777324179,0.8245067112018308,0.12330741436978433,9,0.9232268429508284,0.622687676146554,0.5560820954045395,0.7006655381673071,0.15970645287882135,21,0.5583583918493724,0.6425337687650452,0.6319814600915775,0.610957873568665,0.03744210564270021,16,0.5557060679161254,0.6478613843013546,0.6238541473371683,0.6091405331848828,0.039034330322441184,20,0.5583583918493725,0.6425337687650451,0.6319814600915774,0.610957873568665,0.03744210564270011,16,0.5557060679161254,0.6478613843013546,0.6238541473371683,0.6091405331848828,0.039034330322441184,20,0.5557060679161254,0.6478613843013546,0.6238541473371683,0.6091405331848828,0.039034330322441184,20,0.5557060679161254,0.6478613843013546,0.6238541473371683,0.6091405331848828,0.039034330322441184,20,0.5265332375639333,0.6289645374044611,0.6013814370498729,0.5856264040060891,0.043275925535360235,16,0.5557060679161254,0.6478613843013546,0.6238541473371683,0.6091405331848828,0.039034330322441184,20,0.5265332375639333,0.6289645374044611,0.6013814370498729,0.5856264040060891,0.043275925535360235,16,0.7991264055274896,0.8700250751047677,0.8583045739666364,0.8424853515329646,0.031030535345704283,22,0.42757254985565474,0.5401216454527163,0.514797438891963,0.49416387806677803,0.04820880005541233,20,0.5139336652711168,0.6129381271314134,0.5747866572046572,0.5672194832023958,0.040771047397608874,15
24,117.3537666797638,1.8365450253237445,3.0086776415506997,0.06465397500539831,saga,l1,ovr,100000,,0.001,,"{'solver': 'saga', 'penalty': 'l1', 'multi_class': 'ovr', 'max_iter': 100000, 'class_weight': None, 'C': 0.001}",0.5764102802004082,0.5852848394878456,0.5782427166450176,0.5799792787777571,0.003825457416415199,28,0.7105028948753528,0.6894933102750779,0.6711171622234909,0.6903711224579738,0.016091134200801688,28,0.688847652625719,0.8286138430135461,0.8506587493041381,0.7893734149811343,0.07164991810273678,26,0.7335638770872444,0.5903724367703637,0.5541559885885595,0.6260307674820559,0.07746153895427692,28,0.5712992397694044,0.56759279142061,0.5650501411673524,0.5679807241191223,0.0025658886918536183,28,0.5764102802004082,0.5852848394878456,0.5782427166450176,0.5799792787777571,0.003825457416415199,28,0.5712992397694044,0.5675927914206101,0.5650501411673523,0.5679807241191223,0.0025658886918536548,28,0.5764102802004083,0.5852848394878457,0.5782427166450177,0.5799792787777572,0.003825457416415199,28,0.5764102802004082,0.5852848394878456,0.5782427166450176,0.5799792787777571,0.003825457416415199,28,0.5764102802004082,0.5852848394878456,0.5782427166450176,0.5799792787777571,0.003825457416415199,28,0.5639085461525386,0.5609128802246984,0.5499995604708157,0.5582736622826842,0.005977127190810018,28,0.5764102802004082,0.5852848394878456,0.5782427166450176,0.5799792787777571,0.003825457416415199,28,0.5639085461525386,0.5609128802246984,0.5499995604708157,0.5582736622826842,0.005977127190810018,28,0.8170283794367802,0.8315639745978955,0.8277591424244555,0.8254504988197103,0.006154578682696743,26,0.4404122362462067,0.45562443129115676,0.4498633485372246,0.4486333386915293,0.006270960196906659,28,0.5700311175302021,0.550031888915332,0.5303372782609204,0.5501334282354847,0.016205101082869877,28
25,2908.9851547876992,461.7728542035931,1.5808406670888264,0.10987556425907556,saga,,ovr,100000,,,,"{'solver': 'saga', 'penalty': None, 'multi_class': 'ovr', 'max_iter': 100000, 'class_weight': None}",0.5521710892558916,0.6517628502505103,0.6237474485062163,0.6092271293375394,0.04193454793741071,19,0.7759568851737791,0.7392443847014561,0.6895588518589867,0.734920040578074,0.03540414292366614,14,0.6545741324921136,0.913341992948599,0.9299127853033958,0.8326096369147028,0.12607174786887765,4,0.9526059951390764,0.6208923593152775,0.54793457105994,0.7071443085047647,0.17610468367952523,16,0.5475224782935126,0.6473198329029364,0.6325442835206083,0.6091288649056857,0.04397794423301915,19,0.5521710892558916,0.6517628502505103,0.6237474485062163,0.6092271293375394,0.04193454793741071,19,0.5475224782935127,0.6473198329029364,0.6325442835206082,0.6091288649056857,0.043977944233019074,19,0.5521710892558916,0.6517628502505104,0.6237474485062164,0.6092271293375395,0.041934547937410756,19,0.5521710892558916,0.6517628502505103,0.6237474485062163,0.6092271293375394,0.04193454793741071,19,0.5521710892558916,0.6517628502505103,0.6237474485062163,0.6092271293375394,0.04193454793741071,19,0.517000534804812,0.6316091566021254,0.6004139028396966,0.583007864748878,0.04838051721567387,21,0.5521710892558916,0.6517628502505103,0.6237474485062163,0.6092271293375394,0.04193454793741071,19,0.517000534804812,0.6316091566021254,0.6004139028396968,0.5830078647488781,0.048380517215673886,21,0.795609004838313,0.8796739757177942,0.857817328970676,0.844366769842261,0.035612900171073256,19,0.42628368551603385,0.5464033756411163,0.516061025689492,0.496249362282214,0.05100040192102355,19,0.5035297313289269,0.6118007095073452,0.5648941234791818,0.560074854771818,0.04433260795459115,26
26,85.85413034756978,8.756119363010791,2.909939765930176,0.027127286348783912,sag,l2,multinomial,1000,,0.1,,"{'solver': 'sag', 'penalty': 'l2', 'multi_class': 'multinomial', 'max_iter': 1000, 'class_weight': None, 'C': 0.1}",0.5615420300612358,0.6652254592688811,0.6399842271293376,0.6222505721531516,0.044146915801484214,6,0.7512664985574411,0.7484915542960853,0.7138663778615977,0.7378748102383748,0.017014282192834615,6,0.6136574503618482,0.8724253108183336,0.8867693449619596,0.7909507020473804,0.12550195389926672,18,0.9684315333255242,0.6553892048622728,0.5973873367085443,0.7404026916321138,0.1629701785815623,7,0.5872573610789621,0.6620553665082778,0.6468767338856585,0.6320631538242995,0.03228278199212604,6,0.5615420300612358,0.6652254592688811,0.6399842271293376,0.6222505721531516,0.044146915801484214,6,0.5872573610789621,0.6620553665082778,0.6468767338856584,0.6320631538242995,0.03228278199212602,6,0.5615420300612358,0.665225459268881,0.6399842271293376,0.6222505721531514,0.04414691580148418,6,0.5615420300612358,0.6652254592688811,0.6399842271293376,0.6222505721531516,0.044146915801484214,6,0.5615420300612358,0.6652254592688811,0.6399842271293376,0.6222505721531516,0.044146915801484214,6,0.545358361290244,0.6536541880450322,0.6264648835888228,0.6084924776413664,0.04600182644765968,6,0.5615420300612358,0.6652254592688811,0.6399842271293376,0.6222505721531516,0.044146915801484214,6,0.545358361290244,0.6536541880450322,0.6264648835888229,0.6084924776413664,0.04600182644765969,6,0.8133310718430015,0.8931569892831895,0.8762437745743958,0.8609106119001956,0.03434504992947354,1,0.43142344263246535,0.5593531251131633,0.5293309896436693,0.5067025191297659,0.054623173795572584,6,0.5383596903210089,0.6496885650878835,0.6174735080472472,0.6018405878187133,0.0467747847696341,7
27,216.9077951113383,16.630699192786327,2.9506009419759116,0.032217097120673235,saga,elasticnet,ovr,1000,,0.01,1.0,"{'solver': 'saga', 'penalty': 'elasticnet', 'multi_class': 'ovr', 'max_iter': 1000, 'l1_ratio': 1.0, 'class_weight': None, 'C': 0.01}",0.5577426238634255,0.6442846539246614,0.6205418444980516,0.6075230407620462,0.03651025134413104,22,0.7729959801371482,0.7363143692545907,0.6923092919280492,0.7338732137732626,0.03298539923057979,18,0.6672666542957877,0.9088884765262571,0.9266654295787716,0.8342735201336055,0.11831448190503696,1,0.9185398998671708,0.6188171975085596,0.5525643153526971,0.6966404709094758,0.15922076608136052,23,0.5557160864458353,0.6378186111635752,0.6272233643704654,0.6069193539932919,0.03646364188525378,22,0.5577426238634255,0.6442846539246614,0.6205418444980516,0.6075230407620462,0.03651025134413104,22,0.5557160864458353,0.6378186111635751,0.6272233643704654,0.6069193539932919,0.03646364188525374,22,0.5577426238634254,0.6442846539246614,0.6205418444980516,0.6075230407620462,0.03651025134413109,22,0.5577426238634255,0.6442846539246614,0.6205418444980516,0.6075230407620462,0.03651025134413104,22,0.5577426238634255,0.6442846539246614,0.6205418444980516,0.6075230407620462,0.03651025134413104,22,0.5258444019284794,0.6230448769575074,0.5958288023364848,0.5815726937408239,0.04094232171144862,22,0.5577426238634255,0.6442846539246614,0.6205418444980516,0.6075230407620462,0.03651025134413104,22,0.5258444019284795,0.6230448769575075,0.5958288023364848,0.581572693740824,0.040942321711448605,22,0.8028923702942669,0.8735082001779464,0.8605747534406809,0.8456584413042979,0.030697677798737957,14,0.43104982427526795,0.536382039361528,0.5114754263741421,0.49296909667031263,0.044948726812333376,22,0.515147069051147,0.6048088286433303,0.5655662865892055,0.561840728094561,0.03669893388882371,22
28,113.03657484054565,1.1682641792239896,2.952472766240438,0.05558316504828551,saga,elasticnet,ovr,10000,,0.001,1.0,"{'solver': 'saga', 'penalty': 'elasticnet', 'multi_class': 'ovr', 'max_iter': 10000, 'l1_ratio': 1.0, 'class_weight': None, 'C': 0.001}",0.5764102802004082,0.5852848394878456,0.5782427166450176,0.5799792787777571,0.003825457416415199,28,0.7105028948753528,0.6894933102750779,0.6711171622234909,0.6903711224579738,0.016091134200801688,28,0.688847652625719,0.8286138430135461,0.8506587493041381,0.7893734149811343,0.07164991810273678,26,0.7335638770872444,0.5903724367703637,0.5541559885885595,0.6260307674820559,0.07746153895427692,28,0.5712992397694044,0.56759279142061,0.5650501411673524,0.5679807241191223,0.0025658886918536183,28,0.5764102802004082,0.5852848394878456,0.5782427166450176,0.5799792787777571,0.003825457416415199,28,0.5712992397694044,0.5675927914206101,0.5650501411673523,0.5679807241191223,0.0025658886918536548,28,0.5764102802004083,0.5852848394878457,0.5782427166450177,0.5799792787777572,0.003825457416415199,28,0.5764102802004082,0.5852848394878456,0.5782427166450176,0.5799792787777571,0.003825457416415199,28,0.5764102802004082,0.5852848394878456,0.5782427166450176,0.5799792787777571,0.003825457416415199,28,0.5639085461525386,0.5609128802246984,0.5499995604708157,0.5582736622826842,0.005977127190810018,28,0.5764102802004082,0.5852848394878456,0.5782427166450176,0.5799792787777571,0.003825457416415199,28,0.5639085461525386,0.5609128802246984,0.5499995604708157,0.5582736622826842,0.005977127190810018,28,0.8170283794367802,0.8315639745978955,0.8277591424244555,0.8254504988197103,0.006154578682696743,26,0.4404122362462067,0.45562443129115676,0.4498633485372246,0.4486333386915293,0.006270960196906659,28,0.5700311175302021,0.550031888915332,0.5303372782609204,0.5501334282354847,0.016205101082869877,28
29,110.4425364335378,7.353387368136413,2.7732040087381997,0.24686452452609625,saga,l1,ovr,1000,balanced,0.001,,"{'solver': 'saga', 'penalty': 'l1', 'multi_class': 'ovr', 'max_iter': 1000, 'class_weight': 'balanced', 'C': 0.001}",0.5761087400259789,0.5993134162182223,0.588801261829653,0.5880744726912848,0.009487198959139792,26,0.7186131569717921,0.7027678255049411,0.6784516052070442,0.6999441958945924,0.016517005845904386,26,0.6653739098162924,0.8280571534607534,0.8442939320838746,0.7792416651203068,0.08078905667846867,29,0.7811131685001634,0.6104096847000889,0.5670646592551972,0.6528625041518166,0.09239723115277439,26,0.5763529261086884,0.5847091235693125,0.5809380617348854,0.5806667038042954,0.003416795315799659,26,0.5761087400259789,0.5993134162182223,0.588801261829653,0.5880744726912848,0.009487198959139792,26,0.5763529261086884,0.5847091235693125,0.5809380617348853,0.5806667038042953,0.0034167953157996558,26,0.5761087400259788,0.5993134162182223,0.588801261829653,0.5880744726912847,0.00948719895913984,26,0.5761087400259789,0.5993134162182223,0.588801261829653,0.5880744726912848,0.009487198959139792,26,0.5761087400259789,0.5993134162182223,0.588801261829653,0.5880744726912848,0.009487198959139792,26,0.5654126937238249,0.579551464906644,0.5659668900158095,0.5703103495487595,0.0065383710089394476,26,0.5761087400259789,0.5993134162182223,0.588801261829653,0.5880744726912848,0.009487198959139792,26,0.5654126937238249,0.579551464906644,0.5659668900158095,0.5703103495487595,0.0065383710089394476,26,0.8108447132392267,0.8338045906784567,0.8285667385217543,0.8244053474798125,0.009824353229231957,29,0.4406643287037704,0.4726487929036013,0.4621801878611171,0.45849776982282964,0.013314694626466764,26,0.5692741456933104,0.5735602166746624,0.5535960355303824,0.5654767992994517,0.008581259111832782,18
