C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_1,recall_class_1,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
0.001,,100000,ovr,l1,liblinear,,0.8298942817567383,0.2675590082928907,0.1693406470256958,0.637053831129462,0.738417655824337,0.8298942817567383,0.802586194969488,0.5738309953313689,0.8298942817567383,0.8298942817567383,0.585666016678998,0.8298942817567383,0.7870441863400283,0.8140460317373335,0.2653495868167201,0.5220446150017765
0.001,,100000,ovr,l1,saga,,0.8327381298983719,0.2751137540427103,0.1730044825176502,0.6714881710343605,0.7561138369434056,0.8327381298983719,0.8096862556142067,0.5769927044586551,0.8327381298983719,0.8327381298983719,0.5902878662535683,0.8327381298983719,0.7898093731802404,0.8166323981139256,0.2808401377116636,0.5272530438113967
0.01,balanced,1000,ovr,l1,liblinear,,0.7511619620322927,0.5391649789829681,0.7933906616578369,0.4083255473706565,0.6747086794519169,0.7511619620322927,0.8433429655647798,0.7675318951186694,0.7511619620322927,0.7511619620322927,0.6843656069504277,0.7511619620322927,0.7762851075694228,0.8468468793280687,0.4323893761189734,0.6553254813569357
0.01,balanced,1000,ovr,l1,saga,,0.7516425021381998,0.5395689754198875,0.7931473624873865,0.4088537461353038,0.6749641879400379,0.7516425021381998,0.8434258464335479,0.767731839512723,0.7516425021381998,0.7516425021381998,0.6847653584836438,0.7516425021381998,0.776682171363653,0.8469512377069878,0.4328671080908942,0.6557260818708927
0.01,balanced,10000,ovr,l1,liblinear,,0.7511619620322927,0.5391649789829681,0.7933906616578369,0.4083255473706565,0.6747086794519169,0.7511619620322927,0.8433429655647798,0.7675318951186694,0.7511619620322927,0.7511619620322927,0.6843656069504277,0.7511619620322927,0.7762851075694228,0.8468468793280687,0.4323893761189734,0.6553254813569357
0.01,balanced,10000,ovr,l1,saga,,0.7516425021381998,0.5395689754198875,0.7931473624873865,0.4088537461353038,0.6749641879400379,0.7516425021381998,0.8434258464335479,0.767731839512723,0.7516425021381998,0.7516425021381998,0.6847653584836438,0.7516425021381998,0.776682171363653,0.8469512377069878,0.4328671080908942,0.6557260818708927
0.01,balanced,100000,ovr,l1,liblinear,,0.7511619620322927,0.5391649789829681,0.7933906616578369,0.4083255473706565,0.6747086794519169,0.7511619620322927,0.8433429655647798,0.7675318951186694,0.7511619620322927,0.7511619620322927,0.6843656069504277,0.7511619620322927,0.7762851075694228,0.8468468793280687,0.4323893761189734,0.6553254813569357
0.01,balanced,100000,ovr,l1,saga,,0.7516425021381998,0.5395689754198875,0.7931473624873865,0.4088537461353038,0.6749641879400379,0.7516425021381998,0.8434258464335479,0.767731839512723,0.7516425021381998,0.7516425021381998,0.6847653584836438,0.7516425021381998,0.776682171363653,0.8469512377069878,0.4328671080908942,0.6557260818708927
0.01,,1000,ovr,l1,liblinear,,0.843499063675945,0.4282009905409638,0.319388569645436,0.6495112270233712,0.7561262289703446,0.843499063675945,0.8236190234308293,0.6403278896031322,0.843499063675945,0.843499063675945,0.6687719963545012,0.843499063675945,0.8210658721343784,0.8449640459797241,0.3791618680253716,0.6206577951917938
0.01,,1000,ovr,l1,saga,,0.8436671207523295,0.4289565450679983,0.3200326161276826,0.6503212221433782,0.75659104077788,0.8436671207523295,0.8238653166580577,0.6406804641937117,0.8436671207523295,0.8436671207523295,0.6691966768724619,0.8436671207523295,0.8212810917840732,0.8450849216214479,0.3799825214089483,0.6211486505115692
0.01,,10000,ovr,l1,liblinear,,0.843499063675945,0.4282009905409638,0.319388569645436,0.6495112270233712,0.7561262289703446,0.843499063675945,0.8236190234308293,0.6403278896031322,0.843499063675945,0.843499063675945,0.6687719963545012,0.843499063675945,0.8210658721343784,0.8449640459797241,0.3791618680253716,0.6206577951917938
0.01,,10000,ovr,l1,saga,,0.8436671207523295,0.4289565450679983,0.3200326161276826,0.6503212221433782,0.75659104077788,0.8436671207523295,0.8238653166580577,0.6406804641937117,0.8436671207523295,0.8436671207523295,0.6691966768724619,0.8436671207523295,0.8212810917840732,0.8450849216214479,0.3799825214089483,0.6211486505115692
