solver,penalty,multi_class,max_iter,class_weight,C,l1_ratio,accuracy,F1_class_1,recall_class_1,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
saga,elasticnet,ovr,10000,balanced,0.01,0.5,0.7699830518409619,0.7755698882726639,0.7948776512354332,0.7571789203140361,0.7706548775386164,0.7699830518409619,0.770654879069138,0.7699830546142862,0.7699830518409619,0.7699830518409619,0.7698402360203577,0.7699830518409619,0.7698402353919521,0.8493401066222758,0.5406375125619282,0.7709861664708187
lbfgs,l2,multinomial,100000,balanced,1.0,,0.7714736406074789,0.7770747536785235,0.7966013974973896,0.7584840057475749,0.7721623091568951,0.7714736406074789,0.7721623112154573,0.7714736442495737,0.7714736406074789,0.7714736406074789,0.7713290137897905,0.7714736406074789,0.7713290129885936,0.8506278043535302,0.5436355140223519,0.772478161767537
saga,l2,multinomial,10000,,0.001,,0.7675743116288869,0.7727801099892503,0.790487890960185,0.7558498767282971,0.7681387736719386,0.7675743116288869,0.7681387751297913,0.7675743142703131,0.7675743116288869,0.7675743116288869,0.7674519615873884,0.767574311628887,0.7674519609898502,0.846920514366603,0.5357127878865796,0.7685175912677608
newton-cg,l2,multinomial,10000,balanced,10.0,,0.7714398731750417,0.7770379430917469,0.7965499423725891,0.7584605401219191,0.7721275118128679,0.7714398731750417,0.7721275138690363,0.7714398768093796,0.7714398731750417,0.7714398731750417,0.7712954249834564,0.7714398731750419,0.7712954241849612,0.8506283029339455,0.5435669504360843,0.7724439286051146
newton-cg,l2,multinomial,100000,,10.0,,0.7714398731750417,0.7770379430917469,0.7965499423725891,0.7584605401219191,0.7721275118128679,0.7714398731750417,0.7721275138690363,0.7714398768093796,0.7714398731750417,0.7714398731750417,0.7712954249834564,0.7714398731750419,0.7712954241849612,0.8506283044852818,0.5435669504360843,0.7724439286051146
saga,l1,ovr,1000,,1.0,,0.7714527370260522,0.7770596599553036,0.7966046132313201,0.7584522071841384,0.7721425673580605,0.7714527370260522,0.7721425693075984,0.7714527404742295,0.7714527370260522,0.7714527370260522,0.7713078387980072,0.7714527370260522,0.7713078380397448,0.8506247692159663,0.5435948672024876,0.7724582030294664
lbfgs,l2,multinomial,1000,balanced,1.0,,0.7714736406074789,0.7770747536785235,0.7966013974973896,0.7584840057475749,0.7721623091568951,0.7714736406074789,0.7721623112154573,0.7714736442495737,0.7714736406074789,0.7714736406074789,0.7713290137897905,0.7714736406074789,0.7713290129885936,0.8506278043535302,0.5436355140223519,0.772478161767537
saga,l1,ovr,10000,balanced,1.0,,0.7714527370260522,0.7770596599553036,0.7966046132313201,0.7584522071841384,0.7721425673580605,0.7714527370260522,0.7721425693075984,0.7714527404742295,0.7714527370260522,0.7714527370260522,0.7713078387980072,0.7714527370260522,0.7713078380397448,0.8506247694021267,0.5435948672024876,0.7724582030294664
sag,l2,multinomial,1000,balanced,0.001,,0.7675855674190148,0.772794326551737,0.7905136185070719,0.7558535442008755,0.7681507578708083,0.7675855674190148,0.7681507593256641,0.7675855700526845,0.7675855674190148,0.7675855674190148,0.7674630710913255,0.7675855674190148,0.7674630704961771,0.8469204202925087,0.535736027128551,0.7685293221834079
lbfgs,l2,ovr,100000,,10.0,,0.771428617439211,0.7770322394678209,0.796562806115006,0.7584379419846999,0.7721174902434136,0.771428617439211,0.7721174922485187,0.7714286209804682,0.771428617439211,0.771428617439211,0.7712838952681643,0.771428617439211,0.7712838944909043,0.8506286775829001,0.5435456715972703,0.7724335641080957
saga,l1,ovr,100000,,0.001,,0.7579216651592686,0.7626485318142063,0.7778395933777605,0.7480413104360606,0.7583330880084524,0.7579216651592686,0.758333089016137,0.7579216671334713,0.7579216651592686,0.7579216651592686,0.7578252735346777,0.7579216651592686,0.7578252730482036,0.8360749914338861,0.5162545889906013,0.7587899251905834
saga,elasticnet,multinomial,100000,,0.01,0.0,0.7708224127168414,0.7763928406237227,0.7957363099666303,0.7579687006671959,0.7714975419677893,0.7708224127168414,0.771497543908216,0.7708224161184681,0.7708224127168414,0.7708224127168414,0.7706798827649021,0.7708224127168414,0.7706798820256947,0.8501534286738961,0.5423195353588607,0.7718224743366662
saga,elasticnet,multinomial,1000,balanced,0.001,0.0,0.7675743116288869,0.7727801099892503,0.790487890960185,0.7558498767282971,0.7681387736719386,0.7675743116288869,0.7681387751297913,0.7675743142703131,0.7675743116288869,0.7675743116288869,0.7674519615873884,0.767574311628887,0.7674519609898502,0.8469205125049993,0.5357127878865796,0.7685175912677608
