C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_2,recall_class_2,precision_class_2,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
0.01,balanced,1000,ovr,l1,liblinear,,0.6233515925116038,0.2211877292396843,0.3733904393478862,0.1571418133214342,0.493014523151821,0.6233515925116038,0.6335944388497797,0.5259187891930374,0.6233515925116038,0.6233515925116038,0.4949192753815892,0.6233515925116038,0.6221463738587136,0.8272026316802075,0.4217564191619303,0.299296535944728
0.001,balanced,1000,multinomial,l2,newton-cg,,0.5700904839334971,0.1943275676666319,0.6141439812115113,0.1154260563072648,0.4682441785847684,0.5700904839334971,0.628333712032469,0.5443111820275742,0.5700904839334971,0.5700904839334971,0.4569862081723916,0.5700904839334971,0.584322069144983,0.8088480417146447,0.3763504410165903,0.2622652871523184
0.01,,1000,multinomial,elasticnet,saga,0.5,0.6465645396107633,0.0096244705844906,0.0048638995910041,0.4761904761904762,0.5751953494272294,0.6465645396107633,0.6298818887018672,0.4437212542132738,0.6465645396107633,0.6465645396107633,0.4443923690811751,0.6465645396107633,0.6258672934149171,0.8321212185227659,0.4294203288571052,0.1630252135056244
,,10000,multinomial,,lbfgs,,0.6485129548153594,0.0486071648004596,0.0258385462825795,0.4094210481127316,0.5593608205807706,0.6485129548153594,0.6311669708329257,0.4537173374521558,0.6485129548153594,0.6485129548153594,0.4589764728332839,0.6485129548153594,0.6306493097721143,0.836285057848781,0.4343033548201292,0.1929967244079005
0.1,balanced,1000,ovr,l1,liblinear,,0.6260536425777823,0.2186893573521516,0.3702493004990692,0.1551759285109008,0.4949191592723933,0.6260536425777823,0.6369948077716625,0.5284167388337981,0.6260536425777823,0.6260536425777823,0.4979028275613495,0.6260536425777823,0.6263332286698456,0.8304540881191805,0.4260185134581824,0.3002719131417163
0.1,balanced,1000,multinomial,l2,saga,,0.5837057701439907,0.2053821513511109,0.6118135333676499,0.1234060297569576,0.4769636201230404,0.5837057701439907,0.6367099717079286,0.5551122710343,0.5837057701439907,0.5837057701439907,0.4699774218513896,0.5837057701439907,0.5973573419875632,0.8213742718560596,0.3929393587327288,0.2751331149893551
,,10000,multinomial,,lbfgs,,0.6485129548153594,0.0486071648004596,0.0258385462825795,0.4094210481127316,0.5593608205807706,0.6485129548153594,0.6311669708329257,0.4537173374521558,0.6485129548153594,0.6485129548153594,0.4589764728332839,0.6485129548153594,0.6306493097721143,0.836285057848781,0.4343033548201292,0.1929967244079005
,,10000,multinomial,,lbfgs,,0.6485129548153594,0.0486071648004596,0.0258385462825795,0.4094210481127316,0.5593608205807706,0.6485129548153594,0.6311669708329257,0.4537173374521558,0.6485129548153594,0.6485129548153594,0.4589764728332839,0.6485129548153594,0.6306493097721143,0.836285057848781,0.4343033548201292,0.1929967244079005
1.0,balanced,1000,ovr,l1,liblinear,,0.6259013402524123,0.217966181510068,0.3687294204407987,0.1547141620774351,0.4946944803035167,0.6259013402524123,0.63701360444539,0.5283364565433838,0.6259013402524123,0.6259013402524123,0.4979066462061388,0.6259013402524123,0.626373937787413,0.8305307074210265,0.4259436042078193,0.3002305267167249
,,10000,multinomial,,lbfgs,,0.6485129548153594,0.0486071648004596,0.0258385462825795,0.4094210481127316,0.5593608205807706,0.6485129548153594,0.6311669708329257,0.4537173374521558,0.6485129548153594,0.6485129548153594,0.4589764728332839,0.6485129548153594,0.6306493097721143,0.836285057848781,0.4343033548201292,0.1929967244079005
,,10000,multinomial,,lbfgs,,0.6485129548153594,0.0486071648004596,0.0258385462825795,0.4094210481127316,0.5593608205807706,0.6485129548153594,0.6311669708329257,0.4537173374521558,0.6485129548153594,0.6485129548153594,0.4589764728332839,0.6485129548153594,0.6306493097721143,0.836285057848781,0.4343033548201292,0.1929967244079005
