solver,penalty,multi_class,max_iter,class_weight,C,l1_ratio,accuracy,F1_class_2,recall_class_2,precision_class_2,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
saga,elasticnet,ovr,1000,,1.0,1.0,0.5571658316323375,0.5985647998532646,0.6429083936413683,0.5599451606966878,0.544996299803969,0.5571658316323375,0.544996299803969,0.5571658316323375,0.5571658316323375,0.5571658316323375,0.5453979527984544,0.5571658316323375,0.5453979527984544,0.8090290131487706,0.4124153845174003,0.5182994215570988
saga,l1,ovr,10000,balanced,1.0,,0.5560570916063586,0.5965335257207658,0.6411022453145295,0.557760743146411,0.5439747329552687,0.5560570916063586,0.5439747329552685,0.5560570916063586,0.5560570916063586,0.5560570916063586,0.5443126835900426,0.5560570916063586,0.5443126835900426,0.8041354554773869,0.4109469148282264,0.5179451578914692
lbfgs,l2,multinomial,10000,balanced,0.01,,0.5573653120554215,0.5948238965032647,0.6228366425434526,0.5692272695634575,0.5464346610066563,0.5573653120554215,0.5464346610066563,0.5573653120554216,0.5573653120554215,0.5573653120554215,0.5484271619712261,0.5573653120554215,0.5484271619712261,0.8120030247495361,0.4115589113824102,0.5218828442687021
saga,elasticnet,multinomial,100000,,0.1,0.5,0.5583395187728087,0.5959149020683214,0.6231706562751284,0.5709459704881171,0.5475568769375323,0.5583395187728087,0.5475568769375324,0.5583395187728087,0.5583395187728087,0.5583395187728087,0.5496567031258038,0.5583395187728087,0.5496567031258038,0.812914594422968,0.4127674319100509,0.5231873196041322
sag,l2,multinomial,100000,,0.1,,0.5583163233747758,0.5958534273812225,0.6230160202882414,0.5709631827703494,0.5475665255706089,0.5583163233747758,0.5475665255706089,0.5583163233747758,0.5583163233747758,0.5583163233747758,0.5496778561164279,0.5583163233747758,0.5496778561164279,0.8129229122646775,0.4127221855767917,0.5231889764927694
newton-cg,l2,multinomial,100000,,0.1,,0.5583163233747758,0.5958516627278735,0.6230160202882414,0.5709599224331051,0.5475655930084188,0.5583163233747758,0.5475655930084188,0.5583163233747758,0.5583163233747758,0.5583163233747758,0.5496767437247381,0.5583163233747758,0.5496767437247381,0.8129230329834743,0.4127225178495249,0.5231830267861013
saga,elasticnet,ovr,1000,,10.0,0.0,0.5571163481165337,0.5984260912995216,0.642735201336055,0.5598335528541677,0.5449511257326969,0.5571163481165337,0.5449511257326969,0.5571163481165337,0.5571163481165337,0.5571163481165337,0.5453573024202395,0.5571163481165337,0.5453573024202395,0.8090328768867718,0.412345888253731,0.5182087539730753
saga,elasticnet,multinomial,100000,,0.01,1.0,0.5552885507515309,0.5932020222248947,0.6207459640007422,0.5680004391813526,0.5439136472054816,0.5552885507515309,0.5439136472054816,0.5552885507515309,0.5552885507515309,0.5552885507515309,0.545837409197329,0.5552885507515309,0.545837409197329,0.8104380433295182,0.4089331430716726,0.5196029424264258
sag,l2,ovr,100000,,1.0,,0.5571534607533866,0.5984975647895903,0.6428527246860889,0.5598694373693626,0.5449923889491471,0.5571534607533866,0.544992388949147,0.5571534607533865,0.5571534607533866,0.5571534607533866,0.5453896319760129,0.5571534607533866,0.545389631976013,0.8090283266365343,0.4123988750835465,0.5182681572014367
saga,l2,multinomial,100000,,0.001,,0.5489098162924475,0.587517544722238,0.6194717634687945,0.558699736864099,0.5376237466186858,0.5489098162924475,0.5376237466186858,0.5489098162924475,0.5489098162924475,0.5489098162924475,0.5391499951802662,0.5489098162924475,0.5391499951802663,0.8055497196372178,0.4005891017478884,0.5136727661689114
newton-cg,l2,ovr,1000,balanced,0.1,,0.5561777076761304,0.5967700185598338,0.6414671862435827,0.5578983984549314,0.5440909509790038,0.5561777076761304,0.5440909509790038,0.5561777076761304,0.5561777076761304,0.5561777076761304,0.5444206599519528,0.5561777076761304,0.5444206599519528,0.8040451161429223,0.4111134551117496,0.5181119462859043
newton-cg,,ovr,1000,,,,0.5571209871961403,0.5984451681048927,0.6427723139729078,0.5598388184034698,0.5449576748482414,0.5571209871961403,0.5449576748482414,0.5571209871961402,0.5571209871961403,0.5571209871961403,0.54536185695904,0.5571209871961403,0.54536185695904,0.8090333782509411,0.4123525213448503,0.5182310381225345
saga,elasticnet,ovr,10000,,0.001,0.0,0.5469320220201646,0.5896819650365566,0.6371188222923237,0.548820423557865,0.5342869642017507,0.5469320220201646,0.5342869642017507,0.5469320220201646,0.5469320220201646,0.5469320220201646,0.53358065414197,0.5469320220201646,0.53358065414197,0.8009463621105022,0.3994062151320817,0.5082822723829024
newton-cg,l2,ovr,1000,balanced,1.0,,0.556040081647801,0.5965579159068032,0.6411579142698088,0.5577614218205663,0.5439593286280505,0.556040081647801,0.5439593286280505,0.556040081647801,0.556040081647801,0.556040081647801,0.5443000158275074,0.556040081647801,0.5443000158275074,0.8041349702683597,0.4109224998254041,0.5179495216998041
saga,elasticnet,ovr,1000,,0.01,0.5,0.5549792787777571,0.5962709428683419,0.6403476216985218,0.5578727859075422,0.5425042619633285,0.5549792787777571,0.5425042619633286,0.5549792787777572,0.5549792787777571,0.5549792787777571,0.542577031150461,0.5549792787777571,0.542577031150461,0.807559713833648,0.4097323643153481,0.5156992897734899
saga,elasticnet,multinomial,1000,balanced,0.01,1.0,0.5552885507515309,0.5932020222248947,0.6207459640007422,0.5680004391813526,0.5439136472054816,0.5552885507515309,0.5439136472054816,0.5552885507515309,0.5552885507515309,0.5552885507515309,0.545837409197329,0.5552885507515309,0.545837409197329,0.8104380433295182,0.4089331430716726,0.5196029424264258
saga,elasticnet,ovr,100000,balanced,10.0,1.0,0.5560509061668831,0.5966044833769861,0.6411950269066616,0.5578147456567387,0.5439674376817406,0.5560509061668831,0.5439674376817406,0.5560509061668831,0.5560509061668831,0.5560509061668831,0.5443131667757958,0.5560509061668831,0.544313166775796,0.8041433127588561,0.4109351873829123,0.5179757457122637
saga,l2,multinomial,1000,balanced,1.0,,0.5582884888971361,0.5956484337641084,0.622527370569679,0.5709969344745397,0.5475434589993151,0.5582884888971361,0.5475434589993151,0.5582884888971361,0.5582884888971361,0.5582884888971361,0.5496792031980483,0.5582884888971361,0.5496792031980483,0.8130072000589168,0.4126710650525663,0.5230517042476227
saga,elasticnet,multinomial,10000,balanced,0.1,0.0,0.5583147770149068,0.5958516717537158,0.6230160202882414,0.570959964221199,0.5475645593311381,0.5583147770149068,0.5475645593311381,0.5583147770149068,0.5583147770149068,0.5583147770149068,0.5496758696473788,0.5583147770149068,0.5496758696473788,0.812922519988368,0.4127202469110353,0.5231803485189176
liblinear,l1,ovr,10000,balanced,10.0,,0.5571580998329931,0.5984692115616487,0.6427537576544814,0.559894871838388,0.5449998828283747,0.5571580998329931,0.5449998828283747,0.5571580998329931,0.5571580998329931,0.5571580998329931,0.5454033070243657,0.5571580998329931,0.5454033070243657,0.8090273457448977,0.4124010500463066,0.5182686980485568
saga,l1,ovr,1000,balanced,0.01,,0.5539323931465331,0.594718829033345,0.6373662398713429,0.5574220674273448,0.5415468129623915,0.5539323931465331,0.5415468129623915,0.5539323931465331,0.5539323931465331,0.5539323931465331,0.541718049056327,0.5539323931465331,0.541718049056327,0.802364549511673,0.4082683341429486,0.5162055838038303
sag,l2,multinomial,1000,,1.0,,0.5582884888971362,0.5956484212999115,0.622527370569679,0.570996890421568,0.5475430786683458,0.5582884888971362,0.5475430786683461,0.5582884888971362,0.5582884888971362,0.5582884888971362,0.5496788979872511,0.5582884888971362,0.5496788979872511,0.8130073658571599,0.4126711206639757,0.523051134439992
saga,l2,multinomial,100000,,10.0,,0.5583410651326777,0.5956197933799419,0.6224717016143998,0.5709907982504056,0.5475992694604278,0.5583410651326777,0.5475992694604278,0.5583410651326778,0.5583410651326777,0.5583410651326777,0.5497324753315729,0.5583410651326777,0.5497324753315729,0.813012857362025,0.4127416321476427,0.523071294517936
saga,l2,multinomial,10000,,0.1,,0.5583147770149068,0.5958516717537158,0.6230160202882414,0.570959964221199,0.5475645593311381,0.5583147770149068,0.5475645593311381,0.5583147770149068,0.5583147770149068,0.5583147770149068,0.5496758696473788,0.5583147770149068,0.5496758696473788,0.812922519988368,0.4127202469110353,0.5231803485189176
saga,elasticnet,multinomial,10000,balanced,1.0,1.0,0.5583487969320221,0.5957147216702028,0.622657264798664,0.5710091899118952,0.5476003909853571,0.5583487969320221,0.5476003909853572,0.5583487969320221,0.5583487969320221,0.5583487969320221,0.5497319331469005,0.5583487969320221,0.5497319331469005,0.813006941873156,0.4127546376422888,0.5231139534975808
liblinear,l1,ovr,10000,,1.0,,0.5571519143935176,0.5985649035248609,0.6429083936413682,0.5599451726532575,0.5449789763163805,0.5571519143935176,0.5449789763163806,0.5571519143935176,0.5571519143935176,0.5571519143935176,0.5453851737394029,0.5571519143935176,0.5453851737394029,0.8090249213257973,0.4123954154683115,0.5182795537704238
saga,elasticnet,multinomial,1000,balanced,10.0,0.0,0.5583410651326777,0.5956197933799419,0.6224717016143998,0.5709907982504056,0.5475992694604278,0.5583410651326777,0.5475992694604278,0.5583410651326778,0.5583410651326777,0.5583410651326777,0.5497324753315729,0.5583410651326777,0.5497324753315729,0.813012857362025,0.4127416321476427,0.523071294517936
newton-cg,l2,ovr,1000,balanced,0.001,,0.5478273643842395,0.5885221069614546,0.6317684171460383,0.5508173530630593,0.5356012337928036,0.5478273643842395,0.5356012337928036,0.5478273643842395,0.5478273643842395,0.5478273643842395,0.5356817064829316,0.5478273643842395,0.5356817064829316,0.7968888276849083,0.4001065543242464,0.5107522289498123
liblinear,l1,ovr,1000,balanced,0.1,,0.5570776891198119,0.5987041923532331,0.6434155996783572,0.5598042741467406,0.5448491492904423,0.5570776891198119,0.544849149290442,0.5570776891198119,0.5570776891198119,0.5570776891198119,0.5451525810057135,0.5570776891198119,0.5451525810057136,0.8089441166720114,0.4123615599404442,0.5181691590819583
saga,l1,ovr,10000,,0.1,,0.5570498546421724,0.5986929155636648,0.6433290035257005,0.5598497333476301,0.5448151573339969,0.5570498546421724,0.5448151573339969,0.5570498546421723,0.5570498546421724,0.5570498546421724,0.545130899156168,0.5570498546421724,0.545130899156168,0.8089367829261853,0.4123195569598757,0.5181675358975527
saga,l1,ovr,100000,balanced,0.01,,0.5539323931465331,0.594718829033345,0.6373662398713429,0.5574220674273448,0.5415468129623915,0.5539323931465331,0.5415468129623915,0.5539323931465331,0.5539323931465331,0.5539323931465331,0.541718049056327,0.5539323931465331,0.541718049056327,0.802364549511673,0.4082683341429486,0.5162055838038303
lbfgs,l2,ovr,1000,,0.01,,0.5559844126925219,0.5976599256304225,0.642945506278221,0.5583353971108659,0.5436860755243832,0.5559844126925219,0.5436860755243832,0.5559844126925219,0.5559844126925219,0.5559844126925219,0.5437494533577523,0.5559844126925219,0.5437494533577524,0.8080425323780706,0.4110380901720005,0.5170447417320797
saga,elasticnet,multinomial,100000,,0.01,0.0,0.5573637656955527,0.594798511838107,0.6228119007855507,0.5692013086645332,0.5464297938861504,0.5573637656955527,0.5464297938861504,0.5573637656955527,0.5573637656955527,0.5573637656955527,0.5484226186586193,0.5573637656955527,0.5484226186586193,0.8120030563902761,0.4115575113108101,0.5218600863479467
saga,elasticnet,multinomial,100000,balanced,1.0,1.0,0.5583487969320221,0.5957147216702028,0.622657264798664,0.5710091899118952,0.5476003909853571,0.5583487969320221,0.5476003909853572,0.5583487969320221,0.5583487969320221,0.5583487969320221,0.5497319331469005,0.5583487969320221,0.5497319331469005,0.813006941873156,0.4127546376422888,0.5231139534975808
saga,elasticnet,multinomial,1000,,0.001,0.5,0.537706439042494,0.5769608816608621,0.6080781839549699,0.5488751393339948,0.525142574682956,0.537706439042494,0.525142574682956,0.537706439042494,0.537706439042494,0.537706439042494,0.526426304117381,0.537706439042494,0.526426304117381,0.7980357304224097,0.3860591560811539,0.5015097796477658
saga,elasticnet,multinomial,1000,,10.0,1.0,0.5583426114925465,0.5956357834855005,0.6224902579328262,0.5710045779941092,0.5476018199164284,0.5583426114925465,0.5476018199164284,0.5583426114925466,0.5583426114925465,0.5583426114925465,0.5497350553332047,0.5583426114925465,0.5497350553332048,0.8130130801097742,0.4127434512364028,0.5230810097064538
saga,elasticnet,ovr,100000,,0.01,0.5,0.5549792787777571,0.5962709428683419,0.6403476216985218,0.5578727859075422,0.5425042619633285,0.5549792787777571,0.5425042619633286,0.5549792787777572,0.5549792787777571,0.5549792787777571,0.542577031150461,0.5549792787777571,0.542577031150461,0.807559713833648,0.4097323643153481,0.5156992897734899
saga,l2,multinomial,1000,balanced,10.0,,0.5583410651326777,0.5956197933799419,0.6224717016143998,0.5709907982504056,0.5475992694604278,0.5583410651326777,0.5475992694604278,0.5583410651326778,0.5583410651326777,0.5583410651326777,0.5497324753315729,0.5583410651326777,0.5497324753315729,0.813012857362025,0.4127416321476427,0.523071294517936
saga,l2,ovr,100000,,10.0,,0.5571163481165337,0.5984260912995216,0.642735201336055,0.5598335528541677,0.5449511257326969,0.5571163481165337,0.5449511257326969,0.5571163481165337,0.5571163481165337,0.5571163481165337,0.5453573024202395,0.5571163481165337,0.5453573024202395,0.8090328768867718,0.412345888253731,0.5182087539730753
saga,elasticnet,multinomial,100000,,1.0,0.0,0.5582884888971361,0.5956484337641084,0.622527370569679,0.5709969344745397,0.5475434589993151,0.5582884888971361,0.5475434589993151,0.5582884888971361,0.5582884888971361,0.5582884888971361,0.5496792031980483,0.5582884888971361,0.5496792031980483,0.8130072000589168,0.4126710650525663,0.5230517042476227
saga,elasticnet,ovr,10000,,1.0,1.0,0.5571658316323375,0.5985647998532646,0.6429083936413683,0.5599451606966878,0.544996299803969,0.5571658316323375,0.544996299803969,0.5571658316323375,0.5571658316323375,0.5571658316323375,0.5453979527984544,0.5571658316323375,0.5453979527984544,0.8090290131487706,0.4124153845174003,0.5182994215570988
saga,,multinomial,1000,balanced,,,0.5583364260530711,0.5956198347132386,0.6224717016143998,0.5709909008245089,0.5475960652706185,0.5583364260530711,0.5475960652706185,0.5583364260530711,0.5583364260530711,0.5583364260530711,0.5497289848505175,0.5583364260530711,0.5497289848505172,0.813013337606861,0.4127352285755761,0.5230724276489461
lbfgs,l2,multinomial,10000,,10.0,,0.5583302406135956,0.5956827784801595,0.6225521123275809,0.5710396275195299,0.5475856156152733,0.5583302406135956,0.5475856156152733,0.5583302406135956,0.5583302406135956,0.5583302406135956,0.5497206212962659,0.5583302406135956,0.5497206212962659,0.8130124715324684,0.4127270403079904,0.5230765984675242
saga,l1,ovr,1000,balanced,1.0,,0.5560570916063586,0.5965335257207658,0.6411022453145295,0.557760743146411,0.5439747329552687,0.5560570916063586,0.5439747329552685,0.5560570916063586,0.5560570916063586,0.5560570916063586,0.5443126835900426,0.5560570916063586,0.5443126835900426,0.8041354554773869,0.4109469148282264,0.5179451578914692
saga,l2,multinomial,1000,,10.0,,0.5583410651326777,0.5956197933799419,0.6224717016143998,0.5709907982504056,0.5475992694604278,0.5583410651326777,0.5475992694604278,0.5583410651326778,0.5583410651326777,0.5583410651326777,0.5497324753315729,0.5583410651326777,0.5497324753315729,0.813012857362025,0.4127416321476427,0.523071294517936
saga,elasticnet,multinomial,10000,balanced,1.0,0.5,0.5583457042122842,0.5957026899003642,0.6226263376012866,0.5710130936728567,0.5475999313517766,0.5583457042122842,0.5475999313517766,0.5583457042122842,0.5583457042122842,0.5583457042122842,0.5497309325815032,0.5583457042122842,0.5497309325815031,0.8130070316972763,0.4127500479255974,0.5231279582121116
saga,l2,multinomial,10000,,1.0,,0.5582884888971361,0.5956484337641084,0.622527370569679,0.5709969344745397,0.5475434589993151,0.5582884888971361,0.5475434589993151,0.5582884888971361,0.5582884888971361,0.5582884888971361,0.5496792031980483,0.5582884888971361,0.5496792031980483,0.8130072000589168,0.4126710650525663,0.5230517042476227
saga,elasticnet,ovr,100000,,0.01,0.0,0.5559890517721283,0.5976934647016879,0.6430259169914022,0.5583333574036464,0.543691974903712,0.5559890517721283,0.543691974903712,0.5559890517721283,0.5559890517721283,0.5559890517721283,0.5437502827662669,0.5559890517721283,0.5437502827662669,0.8080429546116951,0.4110463879442525,0.5170716121325775
newton-cg,l2,multinomial,10000,,0.01,,0.5573684047751594,0.5948055279386184,0.6228119007855507,0.5692141221657971,0.5464354034831705,0.5573684047751594,0.5464354034831705,0.5573684047751593,0.5573684047751594,0.5573684047751594,0.5484282067879399,0.5573684047751594,0.5484282067879399,0.8120032476981486,0.4115634622479882,0.5218718040407735
lbfgs,l2,ovr,1000,balanced,0.01,,0.5558978165398651,0.596997423076355,0.6418568689305375,0.5580013107540618,0.5437632418273101,0.5558978165398651,0.5437632418273101,0.5558978165398651,0.5558978165398651,0.5558978165398651,0.543968365503086,0.5558978165398651,0.543968365503086,0.8032240498518187,0.4108149331245638,0.5181395851332765
newton-cg,,ovr,10000,,,,0.5571209871961403,0.5984451681048927,0.6427723139729078,0.5598388184034698,0.5449576748482414,0.5571209871961403,0.5449576748482414,0.5571209871961402,0.5571209871961403,0.5571209871961403,0.54536185695904,0.5571209871961403,0.54536185695904,0.8090333782509411,0.4123525213448503,0.5182310381225345
sag,l2,multinomial,1000,,0.01,,0.5573823220139791,0.5948608387211936,0.6229232386961093,0.5692229398186338,0.5464477385763198,0.5573823220139791,0.5464477385763198,0.5573823220139791,0.5573823220139791,0.5573823220139791,0.5484377954470446,0.5573823220139791,0.5484377954470446,0.81200336677178,0.4115839298774502,0.5218959292957203
sag,l2,ovr,1000,balanced,0.1,,0.5561792540359992,0.5967700185598338,0.6414671862435827,0.5578983984549314,0.5440936113591585,0.5561792540359992,0.5440936113591585,0.5561792540359992,0.5561792540359992,0.5561792540359992,0.5444217896964908,0.5561792540359992,0.5444217896964908,0.8040449508516198,0.4111160338195282,0.5181119462859043
saga,elasticnet,ovr,100000,,0.1,0.5,0.5571905733902395,0.598713487779379,0.6433846724809799,0.5598441223466638,0.5449997161213641,0.5571905733902395,0.5449997161213641,0.5571905733902393,0.5571905733902395,0.5571905733902395,0.5453123720366072,0.5571905733902395,0.5453123720366071,0.8089485129845008,0.412498588846707,0.5183014181255684
lbfgs,l2,multinomial,100000,balanced,0.1,,0.558313230655038,0.595875683866887,0.623009834848766,0.5710088616279264,0.5475621951402503,0.558313230655038,0.5475621951402503,0.5583132306550379,0.558313230655038,0.558313230655038,0.549670779570074,0.558313230655038,0.549670779570074,0.8129225195101223,0.4127196719752644,0.5232289583931811
saga,elasticnet,ovr,10000,balanced,0.1,1.0,0.5564127543761984,0.5972043590626216,0.6420115049174244,0.5582452770827689,0.5443082814070145,0.5564127543761984,0.5443082814070145,0.5564127543761984,0.5564127543761984,0.5564127543761984,0.5446086264747234,0.5564127543761984,0.5446086264747233,0.8040421170541413,0.4114474040433839,0.5184466746933067
saga,elasticnet,multinomial,100000,,0.1,1.0,0.5582498299004145,0.5958976030186801,0.6232510669883095,0.5708471518226862,0.5474258771556466,0.5582498299004145,0.5474258771556466,0.5582498299004145,0.5582498299004145,0.5582498299004145,0.5495315478242823,0.5582498299004145,0.5495315478242823,0.8128865529222998,0.4126554920584911,0.522987093263596
saga,elasticnet,ovr,10000,,0.001,0.5,0.5375796375332467,0.5786518889920457,0.6259169914022391,0.538026231403307,0.524018410124866,0.5375796375332467,0.524018410124866,0.5375796375332467,0.5375796375332467,0.5375796375332467,0.52277193519896,0.5375796375332467,0.52277193519896,0.7948700099305629,0.3873866780306465,0.4965217106946575
