criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,,sqrt,1,1,128,best,0.6931057836148368
gini,,sqrt,1,1,128,random,0.6933496062977555
gini,,sqrt,1,2,128,best,0.6931057836148368
gini,,sqrt,1,2,128,random,0.6933496062977555
gini,,sqrt,1,4,128,best,0.6935238951018627
gini,,sqrt,1,4,128,random,0.6930094106291195
gini,,sqrt,1,8,128,best,0.7047580768584245
gini,,sqrt,1,8,128,random,0.7035844869074088
gini,,sqrt,1,16,128,best,0.7180512315673973
gini,,sqrt,1,16,128,random,0.7161641019581683
gini,,sqrt,1,32,128,best,0.7260040186839115
gini,,sqrt,1,32,128,random,0.725374925180532
gini,,sqrt,1,64,128,best,0.7332593554898627
gini,,sqrt,1,64,128,random,0.7346557073049036
gini,,sqrt,1,128,128,best,0.7389035320475328
gini,,sqrt,1,128,128,random,0.7421004163939083
gini,,sqrt,1,256,128,best,0.7345178911445878
gini,,sqrt,1,256,128,random,0.7400271646068365
gini,,sqrt,2,1,128,best,0.7038406207753866
gini,,sqrt,2,1,128,random,0.7041567349196228
gini,,sqrt,2,2,128,best,0.7038406207753866
gini,,sqrt,2,2,128,random,0.7041567349196228
gini,,sqrt,2,4,128,best,0.7038406207753866
gini,,sqrt,2,4,128,random,0.7041567349196228
gini,,sqrt,2,8,128,best,0.7088169824978107
gini,,sqrt,2,8,128,random,0.7153026837404637
gini,,sqrt,2,16,128,best,0.7179015285300842
gini,,sqrt,2,16,128,random,0.7202854138967906
gini,,sqrt,2,32,128,best,0.7266543046248396
gini,,sqrt,2,32,128,random,0.7305077406827373
gini,,sqrt,2,64,128,best,0.7359260432015341
gini,,sqrt,2,64,128,random,0.7341399968727088
gini,,sqrt,2,128,128,best,0.7387752251468114
gini,,sqrt,2,128,128,random,0.7420714066881331
gini,,sqrt,2,256,128,best,0.7388329997103469
gini,,sqrt,2,256,128,random,0.742913217527191
gini,,sqrt,4,1,128,best,0.7255916771301595
gini,,sqrt,4,1,128,random,0.7266579932844192
gini,,sqrt,4,2,128,best,0.7255916771301595
gini,,sqrt,4,2,128,random,0.7266579932844192
gini,,sqrt,4,4,128,best,0.7255916771301595
gini,,sqrt,4,4,128,random,0.7266579932844192
gini,,sqrt,4,8,128,best,0.7255916771301595
gini,,sqrt,4,8,128,random,0.7266579932844192
gini,,sqrt,4,16,128,best,0.7286226869045963
gini,,sqrt,4,16,128,random,0.7296116303539719
gini,,sqrt,4,32,128,best,0.7296900516571752
gini,,sqrt,4,32,128,random,0.7312591635668803
gini,,sqrt,4,64,128,best,0.7360202026038967
gini,,sqrt,4,64,128,random,0.7404193117823921
gini,,sqrt,4,128,128,best,0.7387373928160382
gini,,sqrt,4,128,128,random,0.7386530270178588
gini,,sqrt,4,256,128,best,0.7429325345651024
gini,,sqrt,4,256,128,random,0.7407186392171942
gini,,sqrt,8,1,128,best,0.7345737912614799
gini,,sqrt,8,1,128,random,0.7371205779117757
gini,,sqrt,8,2,128,best,0.7345737912614799
gini,,sqrt,8,2,128,random,0.7371205779117757
gini,,sqrt,8,4,128,best,0.7345737912614799
gini,,sqrt,8,4,128,random,0.7371205779117757
gini,,sqrt,8,8,128,best,0.7345737912614799
gini,,sqrt,8,8,128,random,0.7371205779117757
gini,,sqrt,8,16,128,best,0.7345737912614799
gini,,sqrt,8,16,128,random,0.7371205779117757
gini,,sqrt,8,32,128,best,0.7358790660038509
gini,,sqrt,8,32,128,random,0.7393305744674666
gini,,sqrt,8,64,128,best,0.740883291022444
gini,,sqrt,8,64,128,random,0.7404505157548004
gini,,sqrt,8,128,128,best,0.7406911810544665
gini,,sqrt,8,128,128,random,0.7411920746283472
gini,,sqrt,8,256,128,best,0.7404254164376027
gini,,sqrt,8,256,128,random,0.7414244888749013
gini,,sqrt,16,1,128,best,0.7395540527955964
gini,,sqrt,16,1,128,random,0.7417769413953113
gini,,sqrt,16,2,128,best,0.7395540527955964
gini,,sqrt,16,2,128,random,0.7417769413953113
gini,,sqrt,16,4,128,best,0.7395540527955964
gini,,sqrt,16,4,128,random,0.7417769413953113
gini,,sqrt,16,8,128,best,0.7395540527955964
gini,,sqrt,16,8,128,random,0.7417769413953113
gini,,sqrt,16,16,128,best,0.7395540527955964
gini,,sqrt,16,16,128,random,0.7417769413953113
gini,,sqrt,16,32,128,best,0.7395540527955964
gini,,sqrt,16,32,128,random,0.7417769413953113
gini,,sqrt,16,64,128,best,0.7405988439343667
gini,,sqrt,16,64,128,random,0.739020886651109
gini,,sqrt,16,128,128,best,0.7409996048973332
