criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,,sqrt,32,256,128,best,0.012242797618622202
gini,,sqrt,32,256,128,random,0.02501027250363474
gini,,sqrt,64,1,128,best,0.007188729422290535
gini,,sqrt,64,1,128,random,0.01872214935028109
gini,,sqrt,64,2,128,best,0.007188729422290535
gini,,sqrt,64,2,128,random,0.01872214935028109
gini,,sqrt,64,4,128,best,0.007188729422290535
gini,,sqrt,64,4,128,random,0.01872214935028109
gini,,sqrt,64,8,128,best,0.007188729422290535
gini,,sqrt,64,8,128,random,0.01872214935028109
gini,,sqrt,64,16,128,best,0.007188729422290535
gini,,sqrt,64,16,128,random,0.01872214935028109
gini,,sqrt,64,32,128,best,0.007188729422290535
gini,,sqrt,64,32,128,random,0.01872214935028109
gini,,sqrt,64,64,128,best,0.007188729422290535
gini,,sqrt,64,64,128,random,0.01872214935028109
gini,,sqrt,64,128,128,best,0.007188729422290535
gini,,sqrt,64,128,128,random,0.01872214935028109
gini,,sqrt,64,256,128,best,0.0
gini,,sqrt,64,256,128,random,0.002712783994574432
gini,,sqrt,128,1,128,best,0.0
gini,,sqrt,128,1,128,random,0.0
gini,,sqrt,128,2,128,best,0.0
gini,,sqrt,128,2,128,random,0.0
gini,,sqrt,128,4,128,best,0.0
gini,,sqrt,128,4,128,random,0.0
gini,,sqrt,128,8,128,best,0.0
gini,,sqrt,128,8,128,random,0.0
gini,,sqrt,128,16,128,best,0.0
gini,,sqrt,128,16,128,random,0.0
gini,,sqrt,128,32,128,best,0.0
gini,,sqrt,128,32,128,random,0.0
gini,,sqrt,128,64,128,best,0.0
gini,,sqrt,128,64,128,random,0.0
gini,,sqrt,128,128,128,best,0.0
gini,,sqrt,128,128,128,random,0.0
gini,,sqrt,128,256,128,best,0.0
gini,,sqrt,128,256,128,random,0.0
gini,,sqrt,256,1,128,best,0.0
gini,,sqrt,256,1,128,random,0.0
gini,,sqrt,256,2,128,best,0.0
gini,,sqrt,256,2,128,random,0.0
gini,,sqrt,256,4,128,best,0.0
gini,,sqrt,256,4,128,random,0.0
gini,,sqrt,256,8,128,best,0.0
gini,,sqrt,256,8,128,random,0.0
gini,,sqrt,256,16,128,best,0.0
gini,,sqrt,256,16,128,random,0.0
gini,,sqrt,256,32,128,best,0.0
gini,,sqrt,256,32,128,random,0.0
gini,,sqrt,256,64,128,best,0.0
gini,,sqrt,256,64,128,random,0.0
gini,,sqrt,256,128,128,best,0.0
gini,,sqrt,256,128,128,random,0.0
gini,,sqrt,256,256,128,best,0.0
gini,,sqrt,256,256,128,random,0.0
gini,,log2,1,1,128,best,0.12491936792765475
gini,,log2,1,1,128,random,0.11430766531919827
gini,,log2,1,2,128,best,0.12491936792765475
gini,,log2,1,2,128,random,0.11430766531919827
gini,,log2,1,4,128,best,0.12856326614388966
gini,,log2,1,4,128,random,0.12286356571786743
gini,,log2,1,8,128,best,0.12357457720407676
gini,,log2,1,8,128,random,0.11710863034948044
gini,,log2,1,16,128,best,0.1045685594272323
gini,,log2,1,16,128,random,0.09780837358002537
gini,,log2,1,32,128,best,0.0837529704671498
gini,,log2,1,32,128,random,0.07896091034525198
gini,,log2,1,64,128,best,0.053295897711035045
gini,,log2,1,64,128,random,0.05112844221278937
gini,,log2,1,128,128,best,0.0416244381120747
gini,,log2,1,128,128,random,0.03138822030487431
gini,,log2,1,256,128,best,0.017018138433181892
gini,,log2,1,256,128,random,0.026285560193306776
gini,,log2,2,1,128,best,0.09354786211927184
gini,,log2,2,1,128,random,0.10167252983900303
gini,,log2,2,2,128,best,0.09354786211927184
gini,,log2,2,2,128,random,0.10167252983900303
gini,,log2,2,4,128,best,0.09354786211927184
gini,,log2,2,4,128,random,0.10167252983900303
gini,,log2,2,8,128,best,0.09609399627496934
gini,,log2,2,8,128,random,0.09251609990878656
gini,,log2,2,16,128,best,0.09174973269171693
gini,,log2,2,16,128,random,0.07324295978488556
gini,,log2,2,32,128,best,0.07253986753737025
gini,,log2,2,32,128,random,0.06661778168931708
gini,,log2,2,64,128,best,0.050351053000806424
gini,,log2,2,64,128,random,0.04735485061882988
gini,,log2,2,128,128,best,0.038615600299446586
gini,,log2,2,128,128,random,0.028124986050542256
gini,,log2,2,256,128,best,0.01998975109697145
gini,,log2,2,256,128,random,0.020273714010410566
gini,,log2,4,1,128,best,0.05865222747946063
gini,,log2,4,1,128,random,0.06193499033288502
gini,,log2,4,2,128,best,0.05865222747946063
gini,,log2,4,2,128,random,0.06193499033288502
gini,,log2,4,4,128,best,0.05865222747946063
gini,,log2,4,4,128,random,0.06193499033288502
gini,,log2,4,8,128,best,0.05865222747946063
gini,,log2,4,8,128,random,0.06193499033288502
gini,,log2,4,16,128,best,0.058556760293090294
gini,,log2,4,16,128,random,0.05616215282696462
gini,,log2,4,32,128,best,0.057419262473895095
gini,,log2,4,32,128,random,0.05626092400460008
gini,,log2,4,64,128,best,0.040121470107638786
gini,,log2,4,64,128,random,0.03423651210472177
gini,,log2,4,128,128,best,0.023509737746641363
gini,,log2,4,128,128,random,0.03147208705173451
gini,,log2,4,256,128,best,0.00602372058031617
