colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,subsample,score
0.5,0,0.01,4,1,50,0.5,0.0
0.5,0,0.01,4,1,50,0.7,0.0
0.5,0,0.01,4,1,50,1.0,0.0
0.5,0,0.01,4,1,100,0.5,0.02121390845291211
0.5,0,0.01,4,1,100,0.7,0.02458294623735863
0.5,0,0.01,4,1,100,1.0,0.02805889542296679
0.5,0,0.01,4,1,200,0.5,0.2464313721833726
0.5,0,0.01,4,1,200,0.7,0.2465621592733307
0.5,0,0.01,4,1,200,1.0,0.24415624501689318
0.5,0,0.01,4,5,50,0.5,0.0
0.5,0,0.01,4,5,50,0.7,0.0
0.5,0,0.01,4,5,50,1.0,0.0
0.5,0,0.01,4,5,100,0.5,0.02121390845291211
0.5,0,0.01,4,5,100,0.7,0.02458294623735863
0.5,0,0.01,4,5,100,1.0,0.02805889542296679
0.5,0,0.01,4,5,200,0.5,0.24621724403495085
0.5,0,0.01,4,5,200,0.7,0.24616606928534834
0.5,0,0.01,4,5,200,1.0,0.24406530173401772
0.5,0,0.01,4,10,50,0.5,0.0
0.5,0,0.01,4,10,50,0.7,0.0
0.5,0,0.01,4,10,50,1.0,0.0
0.5,0,0.01,4,10,100,0.5,0.021245604332397586
0.5,0,0.01,4,10,100,0.7,0.02458294623735863
0.5,0,0.01,4,10,100,1.0,0.0284318316007602
0.5,0,0.01,4,10,200,0.5,0.24597419880777371
0.5,0,0.01,4,10,200,0.7,0.24674017217495278
0.5,0,0.01,4,10,200,1.0,0.24434823941462877
0.5,0,0.01,8,1,50,0.5,0.0
0.5,0,0.01,8,1,50,0.7,0.0
0.5,0,0.01,8,1,50,1.0,0.0
0.5,0,0.01,8,1,100,0.5,0.12473824222034673
0.5,0,0.01,8,1,100,0.7,0.12657591988357977
0.5,0,0.01,8,1,100,1.0,0.13048094647631062
0.5,0,0.01,8,1,200,0.5,0.3572731755970005
0.5,0,0.01,8,1,200,0.7,0.3581060736285464
0.5,0,0.01,8,1,200,1.0,0.35936022821479546
0.5,0,0.01,8,5,50,0.5,0.0
0.5,0,0.01,8,5,50,0.7,0.0
0.5,0,0.01,8,5,50,1.0,0.0
0.5,0,0.01,8,5,100,0.5,0.12433435502109828
0.5,0,0.01,8,5,100,0.7,0.1261502441119019
0.5,0,0.01,8,5,100,1.0,0.1300019529904207
0.5,0,0.01,8,5,200,0.5,0.3554976867663844
0.5,0,0.01,8,5,200,0.7,0.35757125004726614
0.5,0,0.01,8,5,200,1.0,0.35817562956483634
0.5,0,0.01,8,10,50,0.5,0.0
0.5,0,0.01,8,10,50,0.7,0.0
0.5,0,0.01,8,10,50,1.0,0.0
0.5,0,0.01,8,10,100,0.5,0.12214974236730337
0.5,0,0.01,8,10,100,0.7,0.12396297315549497
0.5,0,0.01,8,10,100,1.0,0.12947936285040337
0.5,0,0.01,8,10,200,0.5,0.3533345853580962
0.5,0,0.01,8,10,200,0.7,0.3556365248832491
0.5,0,0.01,8,10,200,1.0,0.35701835783752073
0.5,0,0.01,16,1,50,0.5,0.0
0.5,0,0.01,16,1,50,0.7,0.0
0.5,0,0.01,16,1,50,1.0,0.0
0.5,0,0.01,16,1,100,0.5,0.1644060527958339
0.5,0,0.01,16,1,100,0.7,0.17086555940390155
0.5,0,0.01,16,1,100,1.0,0.1760224115205055
0.5,0,0.01,16,1,200,0.5,0.3870832072589343
0.5,0,0.01,16,1,200,0.7,0.39040608381946046
0.5,0,0.01,16,1,200,1.0,0.3946346152120623
0.5,0,0.01,16,5,50,0.5,0.0
0.5,0,0.01,16,5,50,0.7,0.0
0.5,0,0.01,16,5,50,1.0,0.0
0.5,0,0.01,16,5,100,0.5,0.15943848784757356
0.5,0,0.01,16,5,100,0.7,0.1654850799366976
0.5,0,0.01,16,5,100,1.0,0.17064645535605863
0.5,0,0.01,16,5,200,0.5,0.3831026871087753
0.5,0,0.01,16,5,200,0.7,0.38720413868016196
0.5,0,0.01,16,5,200,1.0,0.3913736731826238
0.5,0,0.01,16,10,50,0.5,0.0
0.5,0,0.01,16,10,50,0.7,0.0
0.5,0,0.01,16,10,50,1.0,0.0
0.5,0,0.01,16,10,100,0.5,0.15330668514090673
0.5,0,0.01,16,10,100,0.7,0.16040655146707525
0.5,0,0.01,16,10,100,1.0,0.16718901947062115
0.5,0,0.01,16,10,200,0.5,0.3800690791363828
0.5,0,0.01,16,10,200,0.7,0.38398537246276593
0.5,0,0.01,16,10,200,1.0,0.38896671367978614
0.5,0,0.01,32,1,50,0.5,0.0
0.5,0,0.01,32,1,50,0.7,0.0
0.5,0,0.01,32,1,50,1.0,0.0
0.5,0,0.01,32,1,100,0.5,0.16744648680293842
0.5,0,0.01,32,1,100,0.7,0.17429786260576807
0.5,0,0.01,32,1,100,1.0,0.18109523672771666
0.5,0,0.01,32,1,200,0.5,0.3819004649412652
0.5,0,0.01,32,1,200,0.7,0.385805636149917
0.5,0,0.01,32,1,200,1.0,0.3897522306441532
0.5,0,0.01,32,5,50,0.5,0.0
0.5,0,0.01,32,5,50,0.7,0.0
0.5,0,0.01,32,5,50,1.0,0.0
0.5,0,0.01,32,5,100,0.5,0.1616425716438367
0.5,0,0.01,32,5,100,0.7,0.16885859436852013
0.5,0,0.01,32,5,100,1.0,0.17584978855948255
0.5,0,0.01,32,5,200,0.5,0.38504765584049944
0.5,0,0.01,32,5,200,0.7,0.3892753243014151
0.5,0,0.01,32,5,200,1.0,0.39472797281819605
0.5,0,0.01,32,10,50,0.5,0.0
0.5,0,0.01,32,10,50,0.7,0.0
0.5,0,0.01,32,10,50,1.0,0.0
0.5,0,0.01,32,10,100,0.5,0.15556497252217724
0.5,0,0.01,32,10,100,0.7,0.16327973990168052
0.5,0,0.01,32,10,100,1.0,0.17192104601094474
0.5,0,0.01,32,10,200,0.5,0.38148019968226926
0.5,0,0.01,32,10,200,0.7,0.38696526209093834
0.5,0,0.01,32,10,200,1.0,0.3923270083859145
0.5,0,0.01,64,1,50,0.5,0.0
0.5,0,0.01,64,1,50,0.7,0.0
0.5,0,0.01,64,1,50,1.0,0.0
0.5,0,0.01,64,1,100,0.5,0.16646052988412186
0.5,0,0.01,64,1,100,0.7,0.1731698420774929
0.5,0,0.01,64,1,100,1.0,0.17980442684144293
0.5,0,0.01,64,1,200,0.5,0.38039293183233003
0.5,0,0.01,64,1,200,0.7,0.3841401641597331
0.5,0,0.01,64,1,200,1.0,0.38763848447071503
0.5,0,0.01,64,5,50,0.5,0.0
0.5,0,0.01,64,5,50,0.7,0.0
0.5,0,0.01,64,5,50,1.0,0.0
0.5,0,0.01,64,5,100,0.5,0.16140062991994314
0.5,0,0.01,64,5,100,0.7,0.16891867746571812
0.5,0,0.01,64,5,100,1.0,0.17604668955683525
0.5,0,0.01,64,5,200,0.5,0.3847738943159047
0.5,0,0.01,64,5,200,0.7,0.3892283455177766
0.5,0,0.01,64,5,200,1.0,0.3942835575742301
0.5,0,0.01,64,10,50,0.5,0.0
0.5,0,0.01,64,10,50,0.7,0.0
0.5,0,0.01,64,10,50,1.0,0.0
0.5,0,0.01,64,10,100,0.5,0.155560954184592
0.5,0,0.01,64,10,100,0.7,0.1631496424674469
0.5,0,0.01,64,10,100,1.0,0.17208482491327137
0.5,0,0.01,64,10,200,0.5,0.38182323576397287
0.5,0,0.01,64,10,200,0.7,0.38691586697610697
0.5,0,0.01,64,10,200,1.0,0.39195252220004284
0.5,0,0.1,4,1,50,0.5,0.3830539608135192
0.5,0,0.1,4,1,50,0.7,0.38587161908663115
0.5,0,0.1,4,1,50,1.0,0.38430201048548523
0.5,0,0.1,4,1,100,0.5,0.4322159048493643
0.5,0,0.1,4,1,100,0.7,0.4322536678659914
0.5,0,0.1,4,1,100,1.0,0.4298760615854576
0.5,0,0.1,4,1,200,0.5,0.4590059449084228
0.5,0,0.1,4,1,200,0.7,0.4566827937732003
0.5,0,0.1,4,1,200,1.0,0.45388136425480347
0.5,0,0.1,4,5,50,0.5,0.38417449737229714
0.5,0,0.1,4,5,50,0.7,0.384311339432344
0.5,0,0.1,4,5,50,1.0,0.3834356018062462
0.5,0,0.1,4,5,100,0.5,0.43142749644825756
0.5,0,0.1,4,5,100,0.7,0.43022391956526934
0.5,0,0.1,4,5,100,1.0,0.4297937376733778
0.5,0,0.1,4,5,200,0.5,0.45947440851034954
0.5,0,0.1,4,5,200,0.7,0.45710540002520506
0.5,0,0.1,4,5,200,1.0,0.4555821574274468
0.5,0,0.1,4,10,50,0.5,0.38686477613802145
0.5,0,0.1,4,10,50,0.7,0.3838213240424399
0.5,0,0.1,4,10,50,1.0,0.38411169953432994
