criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,,sqrt,1,1,16,best,0.41852373347339
gini,,sqrt,1,1,16,random,0.41174450334937646
gini,,sqrt,1,1,32,best,0.4164973472994693
gini,,sqrt,1,1,32,random,0.41448882953691285
gini,,sqrt,1,1,64,best,0.4174234737265003
gini,,sqrt,1,1,64,random,0.4156344731302039
gini,,sqrt,1,1,128,best,0.41550003934370966
gini,,sqrt,1,1,128,random,0.41434960487790357
gini,,sqrt,1,1,256,best,0.4174873524795082
gini,,sqrt,1,1,256,random,0.41098508297790853
gini,,sqrt,1,2,16,best,0.41852373347339
gini,,sqrt,1,2,16,random,0.41174450334937646
gini,,sqrt,1,2,32,best,0.4164973472994693
gini,,sqrt,1,2,32,random,0.41448882953691285
gini,,sqrt,1,2,64,best,0.4174234737265003
gini,,sqrt,1,2,64,random,0.4156344731302039
gini,,sqrt,1,2,128,best,0.41550003934370966
gini,,sqrt,1,2,128,random,0.41434960487790357
gini,,sqrt,1,2,256,best,0.4174873524795082
gini,,sqrt,1,2,256,random,0.41098508297790853
gini,,sqrt,1,4,16,best,0.421643271609275
gini,,sqrt,1,4,16,random,0.4170758723729797
gini,,sqrt,1,4,32,best,0.42206209990027627
gini,,sqrt,1,4,32,random,0.41984515359438895
gini,,sqrt,1,4,64,best,0.42426626392603023
gini,,sqrt,1,4,64,random,0.41881316819838993
gini,,sqrt,1,4,128,best,0.420683296941327
gini,,sqrt,1,4,128,random,0.4198319298270899
gini,,sqrt,1,4,256,best,0.41839077637165073
gini,,sqrt,1,4,256,random,0.4184892043171223
gini,,sqrt,1,8,16,best,0.43282247632233783
gini,,sqrt,1,8,16,random,0.42581187153085703
gini,,sqrt,1,8,32,best,0.4294723709861386
gini,,sqrt,1,8,32,random,0.4325352415931298
gini,,sqrt,1,8,64,best,0.43236600515823503
gini,,sqrt,1,8,64,random,0.43048661469297156
gini,,sqrt,1,8,128,best,0.4280370334213753
gini,,sqrt,1,8,128,random,0.4290231957547496
gini,,sqrt,1,8,256,best,0.42820495150197235
gini,,sqrt,1,8,256,random,0.4266888334549402
gini,,sqrt,1,16,16,best,0.44198416024838544
gini,,sqrt,1,16,16,random,0.4314286722531824
gini,,sqrt,1,16,32,best,0.4389431840199482
gini,,sqrt,1,16,32,random,0.43546012562948944
gini,,sqrt,1,16,64,best,0.4397114259375976
gini,,sqrt,1,16,64,random,0.4380232451192496
gini,,sqrt,1,16,128,best,0.4382652212567528
gini,,sqrt,1,16,128,random,0.4370724049880457
gini,,sqrt,1,16,256,best,0.4355000029449035
