splitter,random_state,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,MCC,F1,Cust_metric,F1_class_2
best,129,92,31,log2,14,gini,0.33245197085602746,0.3880298510946034,0.11999627987801424,0.0018202502844141069
random,193,22,21,sqrt,4,gini,0.14762957767276355,0.2824253512247646,0.048679838553575806,0.0
best,1,2,11,log2,14,gini,0.319342411741092,0.386147205704414,0.13189621261819975,0.012097452738854543
random,193,32,81,sqrt,24,entropy,0.37136843631356714,0.4183483661503005,0.14842200461507007,0.01024612985855886
best,129,42,21,sqrt,30,entropy,0.3906627790164113,0.43269979672315095,0.16594834001076372,0.02320471562373134
random,193,52,81,log2,22,entropy,0.3377845061642275,0.39634320551483876,0.1316246938497075,0.00512306492927943
best,1,82,61,log2,22,entropy,0.3447012437428392,0.40272488536852213,0.1373758685200223,0.0
random,1,62,41,sqrt,16,gini,0.3569406382647686,0.41063279962635413,0.14563433529299688,0.007175648043113544
random,193,42,31,sqrt,4,entropy,0.14543303678012098,0.24629133687826713,0.048679838553575806,0.0
best,193,92,81,log2,6,gini,0.19531883270713468,0.29446447506777207,0.06885677351102772,0.0
random,193,92,81,log2,8,gini,0.27157874598175824,0.33666428408022914,0.08374029813631056,0.0
random,1,12,91,sqrt,14,entropy,0.3590539355356596,0.4107254190689729,0.14452040710667088,0.004062288422477995
random,1,32,1,log2,8,entropy,0.20104768023444838,0.2968815003511744,0.07924031838710822,0.00045630846452201693
random,1,72,71,sqrt,30,gini,0.3715801117110087,0.41550706209573507,0.14255825645435768,0.0
random,1,12,91,sqrt,,gini,0.3678579106849396,0.4183036853138118,0.1511402763593443,0.013636590331189547
random,129,92,1,log2,6,gini,0.2639992322502754,0.3622820827182716,0.12852033273364244,0.0
random,193,42,11,log2,2,entropy,0.17936777520704505,0.24066313391969277,0.0,0.0
random,65,32,11,log2,10,gini,0.23689290038477162,0.33050619713090323,0.07901752791858997,0.002048891223838548
best,1,12,81,sqrt,26,gini,0.3854232673919422,0.4244265375938072,0.1512492529589475,0.007775186049094746
random,193,32,91,log2,22,entropy,0.33949326008331243,0.39686195938888935,0.13012544027472359,0.009166107757657055
random,193,12,51,log2,26,gini,0.3508468561969908,0.4037751563847793,0.13467876300322373,0.0
best,193,82,51,log2,26,gini,0.3435240106443411,0.3964842745047806,0.124638579817179,0.008092844956237006
