splitter,random_state,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,MCC,F1,Cust_metric,F1_class_2
best,129,92,61,sqrt,16,gini,0.3719400522735617,0.4206463282586945,0.1544920311117212,0.010311875101365523
random,65,62,91,sqrt,18,gini,0.3705199894818638,0.41137668265860006,0.13542704527142438,0.0
random,129,32,91,sqrt,18,gini,0.3718267852631864,0.41272460946463835,0.13773542484544501,0.0
random,193,82,61,log2,16,entropy,0.33430453609664124,0.39032708219360646,0.1258727644308362,0.004906880785100925
random,129,22,31,sqrt,30,gini,0.3864413923011047,0.4287195737670923,0.16011528824585566,0.01184445378628262
random,193,92,41,log2,14,gini,0.33257412446144935,0.39153068139643366,0.1293447420967397,0.01056499981826873
best,1,22,81,sqrt,18,gini,0.3857495669239542,0.42159552080659873,0.14438244433079214,0.0
best,1,22,61,sqrt,24,gini,0.3854577344321252,0.42599926173438657,0.15611422929920035,0.014568693044357492
best,1,42,91,log2,8,gini,0.1568738698467539,0.30381706420358784,0.07362073165006856,0.009674582233948988
best,129,92,81,log2,24,gini,0.32715139729261544,0.39028039378195434,0.1247314729647836,0.0
random,193,22,81,log2,8,gini,0.27157874598175824,0.33666428408022914,0.08374029813631056,0.0
best,1,92,61,log2,28,gini,0.34549427911164243,0.40178673650397617,0.13416896331268438,0.0054145516074450084
best,193,32,81,sqrt,26,gini,0.3832040790086986,0.4201418998046838,0.14398726232197465,0.005577867023650156
random,1,52,71,sqrt,14,entropy,0.352055210553144,0.4048285519347452,0.14035070644186834,0.005152329749103944
best,193,72,41,sqrt,8,entropy,0.3189281116092686,0.36320147193249896,0.09817013706582024,0.0018221159321261818
random,65,52,41,sqrt,,gini,0.3904114354219668,0.43144272763189023,0.16429240408686774,0.020717451355182482
best,193,72,31,log2,8,gini,0.20832001544451875,0.30840927094080395,0.05827195254190507,0.0
best,193,62,21,sqrt,18,gini,0.390592178485296,0.43138621493809576,0.1644657565696152,0.027123353231732022
random,129,42,41,log2,20,entropy,0.3481704758235731,0.4013434022407192,0.13394944927927027,0.006763636108302437
best,129,2,31,sqrt,16,gini,0.36505096649054153,0.4146099910508059,0.1471346172527401,0.011470656458499545
random,65,92,11,sqrt,,entropy,0.38954539210302846,0.43596138313689153,0.17502194410162675,0.03642475867239772
random,65,12,31,sqrt,22,entropy,0.3879605329188281,0.4278717559419809,0.1582618706950654,0.01534011201024428
random,65,22,91,log2,,gini,0.33470237038877104,0.39542830120083555,0.12944665807222397,0.0
random,65,22,1,log2,30,entropy,0.3453466329974328,0.42421077432296456,0.1892357252865451,0.07506215916610261
random,193,32,31,log2,6,entropy,0.28317060601998195,0.35257572456451003,0.11307141417577861,0.0
random,65,12,51,log2,8,gini,0.18929801522611486,0.3031234014975991,0.09528144293320397,0.0
best,1,2,91,log2,16,entropy,0.3088111197508671,0.3795188680939631,0.11858143359768769,0.0
best,193,82,11,log2,22,entropy,0.3400880346868998,0.40677766968317614,0.14990176148503848,0.01858845328972361
random,1,62,71,sqrt,,entropy,0.37277240533638717,0.4203930813939807,0.15335335126005953,0.011097570364000574
best,129,2,71,log2,8,gini,0.23794273108704886,0.325820650886436,0.06285304296419385,0.0
best,193,72,91,log2,16,gini,0.29582387943889615,0.3726751132847241,0.10941470042437913,0.0
random,1,32,31,log2,18,gini,0.3166657935117588,0.38471282098646725,0.12648326174960112,0.007835741211086718
random,65,52,51,sqrt,12,gini,0.35373008288718166,0.4029273901177708,0.1364393878078816,0.009615894346924305
random,1,62,91,log2,8,gini,0.23314116532098786,0.33443547210323193,0.09548277163736418,0.0
best,65,2,21,sqrt,8,entropy,0.3026027484319597,0.36998809472065125,0.10672942316057306,0.0031719067999152416
random,1,42,21,log2,22,entropy,0.32768306938622116,0.39858967160926806,0.14445552040183804,0.007214708872727164
best,193,2,1,log2,26,gini,0.34617072320560344,0.42579077466979415,0.19420144130923353,0.08904414521420474
random,1,12,31,log2,12,gini,0.25985319178635397,0.34923408825963204,0.09764036782420871,0.0
best,1,52,1,log2,28,gini,0.3633788801141618,0.4284326683188781,0.18162353976259674,0.05370642335200981
random,65,42,21,sqrt,6,entropy,0.26384743618228007,0.3494294841029695,0.1151310464755329,0.0
random,1,32,71,sqrt,24,entropy,0.3817078092655875,0.4231558273252851,0.1528550877415006,0.011145379700367145
best,65,12,11,log2,12,gini,0.299234483603749,0.3695027310488744,0.10426294919460428,0.010941938734045193
random,193,82,81,sqrt,26,entropy,0.3713303563014561,0.41563864695080416,0.1430552993005734,0.003168137587689523
random,65,52,91,log2,10,entropy,0.267038830859954,0.3509164687316923,0.09734606436346831,0.0
best,1,42,21,log2,8,entropy,0.22193943492560794,0.33865187231507426,0.1228132082102259,0.013436257463011534
random,129,32,91,sqrt,20,entropy,0.37843530464494196,0.4202949341455146,0.14792497355617992,0.0036145939229639667
random,129,52,81,log2,30,gini,0.34025204308699974,0.3977835139261861,0.12970566034643669,0.0027072758037225042
random,65,92,61,log2,18,gini,0.30602941067268724,0.3809534973658682,0.12565407501236472,0.0
random,65,92,41,sqrt,22,entropy,0.38475113540940953,0.42689976772567945,0.1582852619163793,0.011864134473503424
random,65,92,91,sqrt,16,entropy,0.364897487800182,0.4102424887348985,0.13723119666132813,0.0
random,129,52,91,sqrt,26,entropy,0.3724362395725546,0.41682403712962385,0.14552180161398842,0.0029378531073446326
random,65,52,11,log2,12,entropy,0.2465663373351643,0.34759053710978344,0.10657023675765921,0.004968615891240011
random,1,32,1,sqrt,2,gini,0.057653701497125835,0.24116849237514507,0.0,0.0
best,129,82,51,log2,24,entropy,0.3492194230251084,0.4036496245091888,0.1345140050158665,0.0024900962082625923
best,1,72,41,log2,26,gini,0.3461005899102439,0.40501406996550376,0.1397899730508643,0.0
best,129,2,51,sqrt,18,gini,0.37498031389070574,0.4169390028429713,0.14472343330830845,0.007218136018611078
random,1,72,31,sqrt,26,entropy,0.38549322642284883,0.4317922821584977,0.170241982464176,0.02439328484492231
random,129,12,51,log2,14,entropy,0.31920134141217177,0.3885020544822177,0.12809099091816487,0.0020394289598912306
random,65,52,1,log2,28,entropy,0.36439214134393466,0.42769169876859836,0.1802963796905804,0.060123902659622246
best,1,52,41,sqrt,14,entropy,0.3745219806397264,0.41405982282154835,0.13901690181469617,0.0063268156558229155
best,129,22,61,log2,8,gini,0.28022401814684367,0.35539112597511263,0.10066095759141884,0.0
random,1,12,51,log2,18,gini,0.3405301783988451,0.39908779030336655,0.13500923252831035,0.0
random,129,32,71,sqrt,26,entropy,0.3717767452006733,0.4183574996988166,0.14726132731851524,0.004251986125097908
random,1,92,1,log2,,entropy,0.3606701036883537,0.42786620288940336,0.1813810488330495,0.05277959706240587
best,193,2,31,log2,10,gini,0.2645652872346084,0.3395681759376381,0.08643212150098985,0.0
best,65,32,61,log2,,entropy,0.3321273921286217,0.3918012433876405,0.1237807757683775,0.004731328151402501
random,1,82,11,log2,18,entropy,0.3451316592404432,0.40591227053620244,0.14972230844211964,0.014020536895789791
random,129,42,91,sqrt,26,entropy,0.3724362395725546,0.41682403712962385,0.14552180161398842,0.0029378531073446326
random,1,82,61,sqrt,12,gini,0.34156561490106147,0.4015245291017853,0.13996278547416038,0.0015840687938447615
best,193,12,91,sqrt,28,entropy,0.379589656632951,0.41877574661349287,0.14475326693131838,0.0
best,193,2,91,sqrt,30,gini,0.38366527423387464,0.42066795988367695,0.14452486263163924,0.009359591912771309
best,1,62,31,log2,6,entropy,0.16607942020672042,0.2670524430832077,0.035084601604315445,0.0011411617026132602
random,65,22,21,log2,18,entropy,0.3407897167798082,0.39877631020206034,0.13574405145144894,0.008317606206159298
random,193,92,41,log2,28,gini,0.3464436730020359,0.4011122229489577,0.13199280255996734,0.002719278936941738
best,193,82,81,log2,26,entropy,0.3210818664233819,0.38629242865957164,0.12161983597812226,0.0
best,193,92,11,sqrt,10,entropy,0.324274150218105,0.3792920264027013,0.11984232223257292,0.011594972251068624
random,65,92,61,log2,,entropy,0.3368918436237576,0.395736820795201,0.12743095688698877,0.0
random,1,62,41,log2,14,gini,0.29946299828136264,0.3767734020204814,0.12095800180842875,0.0
random,193,52,21,sqrt,8,entropy,0.297365361191207,0.35246366483715225,0.08841737807871396,0.00811700559138131
random,193,72,91,sqrt,14,gini,0.3250706432248663,0.3845827094248511,0.1145348991456689,0.00894497614383986
random,193,92,81,sqrt,,entropy,0.37335275906850524,0.41516973894775483,0.14021611131174852,0.0
best,1,42,91,log2,26,entropy,0.3270449773782744,0.3901482446535662,0.12548648855472588,0.005606009642336585
best,1,22,21,sqrt,2,gini,0.20629159674431907,0.24684410038879281,0.0,0.0
random,193,92,11,sqrt,12,gini,0.2423565327707964,0.3394404889275031,0.10403815102798726,0.024362830797051233
random,193,62,91,log2,26,gini,0.3355581957461185,0.39513389769467827,0.1299222461481415,0.006958473625140293
best,65,52,81,sqrt,,entropy,0.3722684339721387,0.4150263783838048,0.14302973173563724,0.006935123042505593
best,65,72,91,log2,,gini,0.32148898737312165,0.3860125838987238,0.12072604990552217,0.006932796600693279
best,129,42,71,log2,28,gini,0.33594714548909205,0.39596354747927603,0.12766218949067568,0.0
random,129,72,11,log2,30,gini,0.3589641836645265,0.4173088812833534,0.1577628470980081,0.021468647981945217
random,129,92,31,log2,4,gini,0.12731369490208974,0.244973767729467,0.035610074005161224,0.0
best,65,42,81,sqrt,20,gini,0.3802907157028608,0.4191359730937752,0.14370605370990622,0.005623031938821413
best,1,32,11,sqrt,22,gini,0.39316221488959036,0.43985421843695516,0.1823639276247979,0.045507583031851574
random,1,82,11,log2,28,gini,0.3592700888144707,0.41656111948732866,0.1575983392399029,0.02067042474560982
random,129,82,21,log2,16,entropy,0.3309026371769573,0.3966623473635969,0.1376998863906078,0.012122866203109312
best,1,2,11,log2,16,entropy,0.33744245817705987,0.40265042383149047,0.15075824901718823,0.018437300565019115
random,129,22,51,sqrt,4,gini,0.25153048388648064,0.34460283848611994,0.07744924106012012,0.0
best,65,52,61,sqrt,28,entropy,0.3749941821723959,0.4197073707800944,0.15075499521349603,0.010549490487864369
best,65,72,81,sqrt,4,entropy,0.2508740820529295,0.3110617051457985,0.038255336340102634,0.0
random,193,92,31,sqrt,18,gini,0.3626534394197715,0.41509000154701226,0.15034525919595407,0.022396834015294364
best,65,12,51,sqrt,12,entropy,0.37265809835370045,0.41182042930623064,0.13857934797661003,0.008795928997876347
best,1,32,1,log2,2,entropy,0.04601178910593005,0.17552530169661293,0.0,0.0
random,129,52,51,log2,,entropy,0.3340809145196259,0.3995167084700025,0.13963535452350334,0.0075505218743060175
best,129,92,51,log2,28,entropy,0.33452689411750486,0.3945333477181718,0.12607224556065255,0.0031531531531531535
best,193,72,1,sqrt,18,gini,0.3868423886348125,0.4332250277974041,0.17414517064737134,0.041348531649431926
best,65,32,51,log2,14,entropy,0.31624128019265635,0.37366951981365243,0.10337145750865734,0.0038262435291469728
random,65,2,61,log2,12,entropy,0.2782285812678724,0.3600879596906439,0.10493475356171285,0.0
best,193,2,81,log2,2,gini,0.180733575934237,0.22765830520362473,0.0,0.0
best,65,72,71,log2,6,entropy,0.26258616113365707,0.31764893397608035,0.022876394824312005,0.0
best,65,82,61,log2,24,gini,0.3406295085429692,0.3972184383465736,0.13070120235444835,0.014396046374727254
random,129,82,51,log2,12,entropy,0.3380078427388092,0.39323563330833217,0.12182369350271427,0.008095818958062138
best,129,82,1,log2,28,entropy,0.3676599011869596,0.4271186450084295,0.17401336682323257,0.04447335305921165
random,1,72,51,sqrt,12,gini,0.3581697544659412,0.4083629406668243,0.13997578538096223,0.00895496364096428
random,65,52,41,log2,26,gini,0.3356740129770914,0.3991256485523354,0.13550613746488666,0.002271436683702442
best,129,72,1,log2,28,gini,0.34825638354425004,0.41814040179726636,0.16795479413270328,0.03892577057025318
random,193,22,31,sqrt,14,gini,0.3094117618108158,0.37932076248162033,0.11868187339511437,0.02191364449682647
random,129,32,61,log2,22,gini,0.32944130989572507,0.39539189010243964,0.13094310456709182,0.0
random,129,72,61,log2,2,gini,0.07705697434994017,0.23765442336799728,0.0,0.0
random,1,82,71,log2,24,entropy,0.3295477219733327,0.390230519807321,0.12136764391849668,0.0
best,1,42,31,log2,8,entropy,0.24960221529612414,0.33879117980367573,0.10276588233269024,0.0051557946648733465
best,193,12,61,log2,18,entropy,0.32053107734813135,0.38860471287130166,0.12998971761043485,0.0
random,65,92,61,sqrt,24,gini,0.3841341246857442,0.4226644678411198,0.14907696290954972,0.005361930294906166
best,1,32,61,log2,26,gini,0.3405145445116742,0.4020573174969601,0.13827274900823722,0.0
random,1,52,61,log2,10,gini,0.24588250834619174,0.33322957882447873,0.07450921745223822,0.0
best,129,2,91,sqrt,10,gini,0.3334731215405267,0.3946365058574444,0.13670977057097614,0.007345575959933221
best,193,42,81,sqrt,6,gini,0.3033688115204755,0.352046685243183,0.0854919254815228,0.0
best,193,92,41,log2,30,entropy,0.3420129484237217,0.403520498887151,0.14318647835649798,0.013782145626612225
best,193,12,11,sqrt,14,gini,0.38063131397394634,0.42597814778823784,0.16132631068904804,0.02839240918622962
best,193,52,71,sqrt,10,entropy,0.3507359898470053,0.39386942333322944,0.12493032954176442,0.0
random,1,62,41,log2,4,gini,0.07761652432527884,0.2464560393068418,0.015906559373620597,0.0
random,193,72,21,log2,30,gini,0.35964019899526384,0.4107808398076133,0.1425356472049578,0.00936651832726307
best,193,12,31,log2,,entropy,0.35405229658271314,0.40856536244534486,0.1445556925262874,0.012780764537189094
random,129,22,81,sqrt,4,entropy,0.2515207857754275,0.34460414776722187,0.07744924106012012,0.0
best,65,32,91,log2,14,entropy,0.3121603218410846,0.37157225264901367,0.10145742903687216,0.006736274840013473
best,193,22,41,log2,24,entropy,0.33585079296587567,0.3944730823965088,0.1266044962660059,0.0031692133559705717
best,193,92,1,log2,24,entropy,0.35493084683498183,0.41313277177411006,0.15525750857981288,0.030008652067770574
best,1,82,11,log2,,entropy,0.3634500006795998,0.42141499009753774,0.1632119573116513,0.02776875463426079
random,1,82,31,sqrt,20,gini,0.38560187672633167,0.42980130116441684,0.16415208655733274,0.0218087934719013
random,129,32,31,sqrt,4,gini,0.25153048388648064,0.34460283848611994,0.07744924106012012,0.0
best,193,72,81,log2,26,gini,0.3270471467027723,0.386226743179181,0.11569387839657157,0.0
best,1,62,81,sqrt,10,gini,0.334387765331452,0.3895234392114461,0.12859821608387265,0.0
best,65,62,51,sqrt,24,gini,0.39399457736551585,0.4336431787228146,0.16670580651724717,0.02539411682958262
random,1,22,61,sqrt,2,gini,0.057653701497125835,0.24116849237514507,0.0,0.0
random,1,22,41,log2,14,gini,0.29946299828136264,0.3767734020204814,0.12095800180842875,0.0
best,129,62,71,log2,12,entropy,0.3069775440724566,0.3690671684673248,0.1020340742616088,0.0
random,129,22,81,log2,22,entropy,0.33277059231739287,0.39431023083845246,0.1268374393732917,0.003621958121109225
best,193,22,21,log2,8,entropy,0.23263687208063497,0.3124343579499333,0.07282280796882576,0.0
random,193,2,31,log2,28,gini,0.3605262244708755,0.40870256916495656,0.13744470810688206,0.003173601580964158
random,1,52,41,log2,24,gini,0.3530041788318854,0.4065696888209233,0.13893879293869552,0.0029249634379570253
best,1,52,1,sqrt,12,entropy,0.3646964681773448,0.4151557233423933,0.1528968910296363,0.024761758042814136
best,129,82,91,sqrt,2,gini,0.05397895123182345,0.2372972347850605,0.0,0.0
best,65,92,81,sqrt,8,entropy,0.301108989910253,0.36889551639707463,0.11329551799069874,0.005178430710345604
random,1,72,11,sqrt,8,gini,0.3063266033565937,0.3806893758934397,0.12819077611725896,0.014256777548445862
best,129,12,1,sqrt,20,gini,0.3867972265505439,0.44468575597706606,0.20120673379119883,0.07890375754033575
best,1,12,21,log2,28,gini,0.3662070577133891,0.41857359691623214,0.15540920539947486,0.017754476538755313
random,129,92,21,sqrt,26,entropy,0.38880588057594223,0.4331938781662085,0.1697802120102112,0.029431839722228303
random,193,12,11,log2,26,entropy,0.358849317120334,0.4171453946602046,0.16013457318478072,0.02824813323650352
random,129,42,71,sqrt,,entropy,0.37106913950536274,0.4167515557075087,0.14494532329667423,0.0
best,1,12,81,log2,6,gini,0.1800787682222135,0.2745315526028605,0.04769213169858138,0.0
best,1,82,61,log2,10,gini,0.23774765446614676,0.3444318822211996,0.11082266579229155,0.0
best,1,52,81,log2,24,entropy,0.3069382193310811,0.38212276481164587,0.12188194132598225,0.0
random,193,12,51,sqrt,20,gini,0.3601932920152193,0.41187925655076946,0.14216326088794234,0.0049455266893567535
random,193,92,11,log2,18,gini,0.35468038232827204,0.4069162764402933,0.14100028457900637,0.011464253515638503
best,65,92,61,sqrt,8,gini,0.3193585076725577,0.37507160927358507,0.10803757918570944,0.0
random,65,2,1,log2,10,entropy,0.2526938432966435,0.34216100752866513,0.08516945999141597,0.006924886123403002
random,129,52,21,log2,6,entropy,0.2346476552306119,0.34205921707260956,0.12555566883340688,0.0
best,193,92,1,sqrt,26,gini,0.3951403210672941,0.44236788738680993,0.18582530260481325,0.05030465968768707
best,1,92,11,log2,30,gini,0.3717483474054695,0.42264864800401386,0.15941753730430516,0.01768570657610761
best,129,62,91,sqrt,22,entropy,0.3815597395935672,0.4244814663513832,0.15427707119335263,0.008516507852144313
best,129,52,11,sqrt,6,gini,0.24315547902104762,0.33548540408391947,0.09004416339036625,0.000683293474547318
best,193,72,61,log2,12,gini,0.2756722542659927,0.34813591954143003,0.08009231740935784,0.0
best,1,42,41,log2,8,entropy,0.2508125605238128,0.34455652392793223,0.11932406343119069,0.006056527590847914
best,129,62,81,log2,24,entropy,0.3176319097418416,0.38499445612620264,0.11871914263368205,0.0
random,129,92,91,sqrt,6,entropy,0.2297919501832979,0.3151419230932076,0.07876335236426131,0.0
random,1,92,1,sqrt,26,gini,0.3862190779739263,0.4401352722881462,0.18781093913358013,0.052950326953761534
best,65,2,41,log2,16,gini,0.3324018055819291,0.38586353778567045,0.11267373401286307,0.012845508940441145
random,65,52,71,sqrt,10,entropy,0.3141521494455572,0.3789352801799913,0.1265431986137059,0.0
best,65,32,41,log2,2,entropy,0.018037268402013223,0.18748886272525075,0.0,0.0
best,1,42,21,sqrt,28,entropy,0.39362809490932876,0.4346986366169781,0.16864978454786642,0.02614597016745403
best,129,32,41,log2,18,entropy,0.3212717256669342,0.3850590641594689,0.11835453290716132,0.0011326311020500622
best,193,22,61,sqrt,2,gini,0.15810861047372554,0.26751652858525876,0.0,0.0
random,193,32,81,sqrt,20,entropy,0.3740677007908804,0.418480027654944,0.1474011378121529,0.015196067261188542
best,1,42,61,log2,14,entropy,0.303536502755318,0.38037163724833706,0.12678734617027065,0.0
random,129,12,81,sqrt,8,gini,0.2627955314360731,0.3422367403272051,0.10011130448842902,0.0027072758037225042
random,129,42,1,sqrt,18,entropy,0.3810693892961181,0.43213914150800226,0.17671498265329236,0.04474812898089834
random,1,32,51,log2,8,entropy,0.1993004509218491,0.3113800257033785,0.06881560666541418,0.0
random,129,32,11,sqrt,10,gini,0.31633793651439196,0.38989138907652326,0.13995337587075274,0.010587635434309276
random,193,32,31,sqrt,16,gini,0.3388852175338288,0.3969572590373069,0.13453845590617938,0.020088438367619563
random,193,72,31,sqrt,30,entropy,0.38641471554207724,0.43175598711268276,0.1679116149539005,0.028106912227378045
best,193,72,21,sqrt,,gini,0.3960586203027187,0.43737459930889466,0.17264166147934598,0.02826469540282417
best,65,92,91,sqrt,18,entropy,0.361178035197711,0.4112812264288637,0.14296558322450365,0.008311495106946062
best,129,2,51,sqrt,2,entropy,0.05397895123182345,0.2372972347850605,0.0,0.0
best,1,22,41,log2,16,gini,0.3118029172112477,0.38396480216200485,0.12470057743318026,0.004710632570659489
random,65,72,21,log2,6,entropy,0.11722142863628149,0.24385502997051176,0.03434854894732431,0.0
best,1,42,71,sqrt,8,entropy,0.3542855856603569,0.39431236845085466,0.11960374654511774,0.0
random,129,22,11,sqrt,8,gini,0.29311327647027463,0.366284176707969,0.12081858837082432,0.0009079559641357395
random,129,22,21,sqrt,,gini,0.38586134218212553,0.4321825059532613,0.16903587027995526,0.024246821383901777
best,1,42,81,log2,26,gini,0.3429905497519592,0.40229502138430256,0.13897675758589748,0.00449842555105713
random,1,92,61,log2,24,gini,0.3380364577851569,0.39735501407695173,0.13056250589752375,0.0
random,1,82,11,sqrt,8,gini,0.2873121285300802,0.37152700364727487,0.11817210290774427,0.015540220573936179
random,129,92,51,log2,26,entropy,0.35376173839689323,0.404080246627184,0.13533649403397,0.0
random,65,32,51,sqrt,20,entropy,0.3789200355046521,0.42370254887105946,0.15618560034654091,0.014826354370169785
best,1,62,41,sqrt,10,gini,0.3486606187451675,0.3946891614068351,0.12569805522170124,0.0057509400575093995
random,65,22,51,log2,12,gini,0.2777344003923396,0.3587321009274966,0.09969472264389949,0.0
best,129,42,31,log2,14,gini,0.31091765433958646,0.38502925842136165,0.12429428077248689,0.002943854850158411
best,65,82,51,log2,2,entropy,0.018037268402013223,0.18748886272525075,0.0,0.0
best,193,2,11,sqrt,10,entropy,0.3404762465168268,0.38295362390867965,0.10436254921278997,0.010499604145214328
best,193,82,91,log2,18,entropy,0.3143072125750134,0.3752637869053646,0.10534727977551732,0.0
best,1,32,41,sqrt,28,gini,0.385400509712108,0.42198717638553296,0.14539317007012606,0.002040821050292571
best,193,62,71,sqrt,6,gini,0.3037969680825363,0.3535427896092414,0.0885256325360087,0.0
random,129,92,61,sqrt,26,entropy,0.37759351976247685,0.41951232540453226,0.14573594795717051,0.0
random,193,72,41,log2,26,entropy,0.35035692773590377,0.40604808623560434,0.14135287329457394,0.013916591917194332
random,193,52,11,sqrt,2,gini,0.11946860855628451,0.21657072758407095,0.0,0.0
random,65,32,91,log2,2,gini,0.05709460815293868,0.1681445176707239,0.0,0.0
random,129,82,71,log2,28,entropy,0.34202700581684864,0.39910932107456065,0.13224212848038286,0.007096917276557996
random,193,42,91,log2,20,gini,0.33902318352275945,0.393360944780139,0.12319355412100981,0.0
best,129,62,21,sqrt,24,gini,0.3910584019761821,0.43409466543927544,0.16948077196095834,0.025735353230778208
best,129,92,21,sqrt,2,gini,0.05397895123182345,0.2372972347850605,0.0,0.0
random,129,82,91,log2,22,gini,0.33125016592542433,0.39516704437687084,0.1296757311173222,0.008178603006189214
random,193,92,81,sqrt,10,gini,0.22376003566017713,0.3265592672927093,0.0786318142367964,0.0031584884376762543
random,1,72,21,sqrt,,entropy,0.3884278606115033,0.43479168054028294,0.17317586315225464,0.03310718860921858
best,1,22,81,sqrt,18,entropy,0.38796243957992366,0.4241837952071608,0.15072655762712692,0.005138516532618409
best,129,32,21,log2,28,gini,0.35559174236200747,0.41109059744272525,0.14699736636211924,0.013108465873300362
random,129,62,91,sqrt,26,entropy,0.3724362395725546,0.41682403712962385,0.14552180161398842,0.0029378531073446326
random,65,2,21,sqrt,26,gini,0.38471408930428624,0.42942144528931964,0.16447380601703282,0.023233505690483842
random,129,2,81,sqrt,10,entropy,0.3171997745017446,0.38765172164768336,0.13565221370909128,0.0
best,129,62,21,sqrt,22,gini,0.39671578623192083,0.43749006172646876,0.17194634599829575,0.03057162596067914
random,193,72,21,log2,2,entropy,0.17936777520704505,0.24066313391969277,0.0,0.0
random,65,32,51,log2,4,entropy,0.09615374937736916,0.25196622416558107,0.004138645721168908,0.0
best,193,92,31,sqrt,8,gini,0.3051200315411415,0.36291159758158087,0.097964978232563,0.0011341726210729274
best,129,72,31,log2,16,gini,0.2939058419353264,0.37839756085555276,0.13189130620008915,0.006499267933737857
best,129,42,71,sqrt,12,entropy,0.3397961571136756,0.40043865514138655,0.1427430184731008,0.006474659522214779
random,129,62,11,log2,12,gini,0.29902180478689266,0.3890412991338228,0.142989889455878,0.025788848718718508
best,1,72,91,log2,24,entropy,0.33338388490351645,0.39407655148614334,0.1273524363681466,0.0
random,65,92,31,log2,28,gini,0.34417045173164823,0.4041176613246084,0.14023573093182806,0.006110205684170168
best,129,22,1,sqrt,30,entropy,0.3686365345149459,0.44298140820655113,0.21217505074257362,0.09994902423732148
best,65,92,21,sqrt,18,gini,0.3885267247951228,0.4269069521524134,0.15455012119999392,0.012427882299431573
random,65,12,51,log2,2,gini,0.05709460815293868,0.1681445176707239,0.0,0.0
best,65,32,91,sqrt,10,entropy,0.31082476646012563,0.37955730796355774,0.12455169077535706,0.0
random,1,12,71,log2,14,gini,0.25590670868237075,0.351825362992658,0.10901380508917735,0.0
random,193,62,21,sqrt,8,entropy,0.25289520409079574,0.33643789007300695,0.07475050776663568,0.0006852448504760696
best,129,32,51,sqrt,22,entropy,0.3825669580270377,0.4220821144382783,0.14858653690413018,0.00248335026526696
random,1,12,1,log2,30,entropy,0.3406781733992092,0.42862708778984987,0.20547953885669443,0.10406617882614545
random,65,32,91,sqrt,30,entropy,0.371529892526874,0.41509114358954635,0.14047915246267476,0.0
best,193,92,1,sqrt,28,entropy,0.39568224285283443,0.4445452263529844,0.19024611542937744,0.056935821633864896
best,1,32,71,log2,8,entropy,0.17889076135274393,0.2949118498187998,0.06960725020452174,0.004293785310734463
best,193,2,41,sqrt,28,entropy,0.39056403134879397,0.4268469816315808,0.15250634011704792,0.007483020855378141
random,1,52,21,sqrt,6,gini,0.2643251525278953,0.34106285096670597,0.10598885542971485,0.0
best,193,42,21,sqrt,10,entropy,0.312838058094374,0.3752229158917464,0.10685188288862695,0.0034098969907834023
random,65,52,11,sqrt,18,entropy,0.3796717897138679,0.42631291195280513,0.1667948171517608,0.030259933856355132
random,1,92,91,sqrt,12,gini,0.34034844772574413,0.4002634828541464,0.1369830981776666,0.007357859531772574
random,65,12,21,sqrt,,gini,0.3920437052924326,0.4329643432422221,0.16525727517024785,0.02098325155185854
random,193,52,41,sqrt,30,gini,0.3817111840237832,0.42480571565171066,0.1555564214268772,0.020526332750818697
best,129,32,51,log2,4,entropy,0.23834912225900307,0.2868977480648896,0.0,0.0
best,193,42,11,sqrt,16,entropy,0.384352945010426,0.4266876508363999,0.1623809962610525,0.03335035665144793
best,65,72,11,sqrt,8,gini,0.284950904582983,0.3640046045137593,0.11389634116694068,0.007016811172028749
best,129,12,51,sqrt,22,gini,0.38042946960267326,0.4223681134593658,0.15048390533267572,0.006236774696514089
best,1,82,51,log2,,entropy,0.34128980809718645,0.40167960890199744,0.13675614536767755,0.002493482942309872
random,65,12,61,sqrt,10,entropy,0.3254506518037681,0.38803469214742425,0.1299679025832248,0.010847163466753447
random,193,2,71,log2,28,entropy,0.3366488902581089,0.3956761277138357,0.12992482513082723,0.0
best,129,52,11,sqrt,14,gini,0.35723927420845286,0.41205029733505344,0.14915919687695847,0.011860469485061592
random,65,52,11,sqrt,12,gini,0.36652667725011095,0.41054431948221887,0.14357731065628349,0.013594507679139419
random,193,72,31,log2,24,gini,0.3483948214540944,0.40514310836050743,0.14018158696492183,0.005629252425136751
random,65,12,91,log2,30,gini,0.31546758374390665,0.39138105965644865,0.13459910166285874,0.004736129905277402
best,193,82,31,log2,20,gini,0.3182464934607994,0.38499500982800594,0.12412363551708173,0.005677762823918193
random,193,82,61,log2,,gini,0.34810204766388614,0.4004282412035738,0.12975977156690108,0.0
best,193,62,61,log2,30,entropy,0.34063129885405524,0.4006254890865743,0.13743761224555312,0.006485519400648551
random,193,42,51,log2,14,gini,0.3301821828383556,0.38357317926226814,0.11556591606082685,0.006036217303822936
best,193,72,41,sqrt,14,entropy,0.3810638180369856,0.4216238833721935,0.15149166895364038,0.01188142127393795
random,193,12,51,log2,16,gini,0.3476911116496177,0.4020041808960928,0.13812569349350667,0.001364721937905152
best,65,72,71,log2,12,gini,0.30841388147693943,0.36376412693293547,0.08733092447684405,0.0029438405797101446
random,65,32,31,sqrt,8,entropy,0.3084146428919658,0.37365111132381107,0.12411512682041898,0.0020463847203274215
