colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,subsample,score
0.5,0,0.1,8,1,100,1.0,0.7878181853797571
0.5,0,0.1,8,1,200,0.5,0.7881738804955641
0.5,0,0.1,8,1,200,0.7,0.7892174195656398
0.5,0,0.1,8,1,200,1.0,0.7895299702387643
0.5,0,0.1,8,5,50,0.5,0.7834761065973134
0.5,0,0.1,8,5,50,0.7,0.784822762759828
0.5,0,0.1,8,5,50,1.0,0.7850159483808522
0.5,0,0.1,8,5,100,0.5,0.7874034633444823
0.5,0,0.1,8,5,100,0.7,0.7875604426418589
0.5,0,0.1,8,5,100,1.0,0.7882001793646817
0.5,0,0.1,8,5,200,0.5,0.7885344852996216
0.5,0,0.1,8,5,200,0.7,0.7895881904601773
0.5,0,0.1,8,5,200,1.0,0.7888451324147479
0.5,0,0.1,8,10,50,0.5,0.7830502021192376
0.5,0,0.1,8,10,50,0.7,0.7842427040518132
0.5,0,0.1,8,10,50,1.0,0.7841332321444052
0.5,0,0.1,8,10,100,0.5,0.7862507411595329
0.5,0,0.1,8,10,100,0.7,0.7874831203034841
0.5,0,0.1,8,10,100,1.0,0.7874283547959307
0.5,0,0.1,8,10,200,0.5,0.7886169851417515
0.5,0,0.1,8,10,200,0.7,0.7890218437526105
0.5,0,0.1,8,10,200,1.0,0.7890252061942813
0.5,0,0.1,16,1,50,0.5,0.7858101583739642
0.5,0,0.1,16,1,50,0.7,0.7859212466419937
0.5,0,0.1,16,1,50,1.0,0.7868883374383374
0.5,0,0.1,16,1,100,0.5,0.7863479419706522
0.5,0,0.1,16,1,100,0.7,0.7870793367748307
0.5,0,0.1,16,1,100,1.0,0.7878266885182561
0.5,0,0.1,16,1,200,0.5,0.7825421030088365
0.5,0,0.1,16,1,200,0.7,0.785138077112784
0.5,0,0.1,16,1,200,1.0,0.7869029317643585
0.5,0,0.1,16,5,50,0.5,0.7860894616937895
0.5,0,0.1,16,5,50,0.7,0.7878878375228947
0.5,0,0.1,16,5,50,1.0,0.7873621657521378
0.5,0,0.1,16,5,100,0.5,0.787555211519007
0.5,0,0.1,16,5,100,0.7,0.7888224548684093
0.5,0,0.1,16,5,100,1.0,0.789068697984399
0.5,0,0.1,16,5,200,0.5,0.7854023421429371
0.5,0,0.1,16,5,200,0.7,0.7869174781864815
0.5,0,0.1,16,5,200,1.0,0.7881337625873758
0.5,0,0.1,16,10,50,0.5,0.786410262351969
0.5,0,0.1,16,10,50,0.7,0.7874940252638801
0.5,0,0.1,16,10,50,1.0,0.787235819498731
0.5,0,0.1,16,10,100,0.5,0.7878110743055351
0.5,0,0.1,16,10,100,0.7,0.7892342541852027
0.5,0,0.1,16,10,100,1.0,0.7888010028146715
0.5,0,0.1,16,10,200,0.5,0.7863774459867862
