mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_weight_fraction_leaf,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_leaf_nodes,param_max_features,param_max_depth,param_criterion,param_class_weight,param_ccp_alpha,param_bootstrap,params,split0_test_MCC,split1_test_MCC,split2_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_test_F1,split1_test_F1,split2_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Cust_metric,split1_test_Cust_metric,split2_test_Cust_metric,mean_test_Cust_metric,std_test_Cust_metric,rank_test_Cust_metric,split0_test_F1_cl_2,split1_test_F1_cl_2,split2_test_F1_cl_2,mean_test_F1_cl_2,std_test_F1_cl_2,rank_test_F1_cl_2
144.8282699584961,1.1935750502248854,9.988048712412516,0.7086357952647541,300,0.0,2,1,0.0,10,sqrt,5,gini,balanced_subsample,0.0,True,"{'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.3256042362712025,0.32228904499982497,0.32631042277188094,0.3247345680143028,0.0017531137925019147,44,0.38843465329109694,0.3858833320030368,0.3891123129564825,0.38781009941687206,0.0013902350294790048,58,0.20560115071004317,0.20439367091011645,0.20620162389616548,0.20539881517210837,0.0007518325400310981,115,0.13837923518922132,0.13896245521109207,0.13617190608834062,0.13783786549621801,0.001201832478620073,64
116.43422770500183,0.8276675257081055,10.26930030186971,0.49451721225747247,300,0.0,2,1,0.0,10,sqrt,3,gini,balanced_subsample,0.0,True,"{'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 3, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.31956323819053795,0.3169141737264349,0.31703737719592523,0.3178382630376327,0.001220778230564152,109,0.38648201476486055,0.3847821753643512,0.38515851677544727,0.38547423563488636,0.0007289820736410978,85,0.20265638630454771,0.20182398042106797,0.2021268880595543,0.20220241826172333,0.00034399951288017106,289,0.13522087397890395,0.1368315145886541,0.13181262086112316,0.13462166980956042,0.0020923045969267772,103
934.5495853424072,1.5674568634127108,26.149413108825684,1.8528540508635585,2000,0.0,5,4,0.0,10,sqrt,20,gini,balanced_subsample,0.01,True,"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.286956430902387,0.28337027513641255,0.2841648948803812,0.28483053363972693,0.0015378414553989582,514,0.35515123711153124,0.3526928505297167,0.352288452207981,0.3533775132830763,0.0012650314002367036,859,0.20142840886337007,0.20139536453939497,0.20099630593078377,0.20127335977784963,0.0001963705807348725,382,0.1189949602987564,0.11945429154581587,0.11727543388279718,0.1185748952424565,0.0009377974790493614,547
696.3190883000692,1.0112054944870632,29.01628526051839,0.7639559299999583,2000,0.0,2,20,0.03,5,sqrt,5,entropy,balanced_subsample,0.0,True,"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.2772562220640912,0.2782959838834024,0.28053110115001867,0.27869443569917074,0.0013663286925134222,669,0.35486322070846676,0.3581555505023566,0.3585313554327372,0.3571833755478535,0.0016477552802670447,701,0.196733359503325,0.204296846778128,0.20319734867023204,0.20140918498389504,0.003336638224908181,360,0.11530151991812909,0.11261909391405794,0.10835779996085339,0.11209280459768013,0.0028590845906417074,912
290.695125023524,0.3498695653781501,13.165963331858316,0.5568559900589721,600,0.03,10,20,0.0,,sqrt,5,entropy,balanced_subsample,0.01,True,"{'n_estimators': 600, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 10, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.31495225718802444,0.3049417901720136,0.3099707978026263,0.3099549483875548,0.004086771412955771,224,0.37900017474906283,0.37146544080274685,0.37492098424489484,0.3751288665989015,0.0030795524799632963,344,0.2029579482672717,0.19857239517987688,0.20068666277624886,0.2007390020744658,0.001790777023565089,404,0.12903727916569385,0.12658512793576948,0.12500956901171245,0.12687732537105859,0.0016572360075365188,351
436.6903750896454,18.239009173831576,16.368666728337605,0.6007038212382443,1000,0.03,5,20,0.0,10,sqrt,5,gini,balanced_subsample,0.01,True,"{'n_estimators': 1000, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 5, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.2825694434393533,0.28024265167330253,0.2819701890289443,0.2815940947138667,0.0009864330289873265,571,0.35432273408869264,0.35245621870759536,0.3518070837373538,0.35286201217788066,0.0010663412299204528,902,0.1974429771855875,0.19998368133217892,0.19991338251716337,0.19911334701164327,0.0011814784516856558,499,0.11776236976803282,0.11900234055002926,0.11717878134067407,0.11798116388624537,0.0007603706101322514,581
677.9358822504679,5.545191812843416,29.421234846115112,1.0275622614229092,2000,0.0,2,1,0.0,10,log2,5,gini,balanced_subsample,0.0,True,"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 10, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.3234912125776492,0.32133633235309655,0.32333061459735113,0.3227193865093656,0.0009801622407196364,74,0.389191064715674,0.3873917274209447,0.38858895468558485,0.38839058227406786,0.0007478490869550494,48,0.2061310218182159,0.20531179509870578,0.2048039791366408,0.20541559868452083,0.0005467125740896254,113,0.13941953733483164,0.14120677247073973,0.13640715352506416,0.13901115444354517,0.0019806005731164123,50
674.6139049530029,1.853102102665085,26.030133644739788,0.32643150433776413,2000,0.03,5,1,0.0,,sqrt,3,gini,balanced_subsample,0.0,True,"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 3, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.3100361471552756,0.30671202292431765,0.3074924093815367,0.30808019315371,0.0014192880369709188,272,0.3789770562104094,0.37641283592900504,0.37667543610342286,0.3773551094142791,0.0011518892510448688,273,0.19708512818174911,0.196269935833034,0.19467939765108805,0.19601148722195708,0.0009989933633294391,657,0.12941353609877285,0.13011658269280277,0.12504671500112116,0.12819227793089893,0.0022426908298200355,285
172.3419670263926,1.8545076168578025,8.844449996948242,1.1642150262412794,600,0.0,5,1,0.03,10,log2,3,gini,balanced_subsample,0.0,True,"{'n_estimators': 600, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 10, 'max_features': 'log2', 'max_depth': 3, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,947,0.14900864133782094,0.14900645771379512,0.14900645771379512,0.1490071855884704,1.029370237479438e-06,947,0.0,0.0,0.0,0.0,0.0,1023,0.0,0.0,0.0,0.0,0.0,1023
122.24954271316528,4.888888922439131,7.4548336664835615,0.5065508267709942,300,0.03,10,20,0.0,10,sqrt,5,gini,balanced_subsample,0.01,True,"{'n_estimators': 300, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 10, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.283068716105169,0.2808555615795229,0.2809992779039792,0.2816411851962237,0.0010111204898442827,569,0.3589486378713672,0.35627103861714615,0.3539959199440793,0.35640519881086424,0.0020241628615312573,753,0.20128096253410552,0.20429116557336924,0.20341411009806948,0.2029954127351814,0.001264070461027971,224,0.11832709962597757,0.1193021947101857,0.11607244995233555,0.1179005814294996,0.0013525903861751692,583
