params,mean_test_MCC,mean_test_F1,mean_test_Cust_metric
"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 3, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.0,0.1490071855884704,0.0
"{'n_estimators': 300, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 5, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 3, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.2987868623356522,0.3724229364457034,0.20045759220902074
"{'n_estimators': 100, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.0,0.07656384263542419,0.046399925019494075
"{'n_estimators': 1000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': None, 'max_features': 'log2', 'max_depth': 3, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.2663073104312824,0.35719964649561947,0.191914737144228
"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 10, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.0,0.1490071855884704,0.0
"{'n_estimators': 600, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': None, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.0,0.1490071855884704,0.0
"{'n_estimators': 1000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 10, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 10, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.0,0.1490071855884704,0.0
"{'n_estimators': 600, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.30790104685387837,0.37598209003588007,0.20355206387808047
"{'n_estimators': 600, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 5, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.28232934761456446,0.35711061310593334,0.20563924691443725
"{'n_estimators': 600, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.30790104685387837,0.37598209003588007,0.20355206387808047
"{'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.3247345680143028,0.38781009941687206,0.20539881517210837
"{'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 3, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.3178382630376327,0.38547423563488636,0.20220241826172333
"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.28483053363972693,0.3533775132830763,0.20127335977784963
"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.27869443569917074,0.3571833755478535,0.20140918498389504
"{'n_estimators': 600, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 10, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.3099549483875548,0.3751288665989015,0.2007390020744658
